date,value,transformation
2014-11-01,220.9,level
2014-12-01,262.0,level
2015-01-01,317.2,level
2015-02-01,303.9,level
2015-03-01,319.2,level
2015-04-01,271.8,level
2015-05-01,263.7,level
2015-06-01,273.9,level
2015-07-01,325.9,level
2015-08-01,377.1,level
2015-09-01,346.6,level
2015-10-01,327.4,level
2015-11-01,291.7,level
2015-12-01,315.5,level
2016-01-01,348.5,level
2016-02-01,333.0,level
2016-03-01,318.2,level
2016-04-01,280.9,level
2016-05-01,304.0,level
2016-06-01,304.9,level
2016-07-01,260.7,level
2016-08-01,242.9,level
2016-09-01,229.9,level
2016-10-01,228.1,level
2016-11-01,252.4,level
2016-12-01,213.3,level
2017-01-01,202.5,level
2017-02-01,217.4,level
2017-03-01,213.9,level
2017-04-01,206.6,level
2017-05-01,213.9,level
2017-06-01,225.0,level
2017-07-01,199.0,level
2017-08-01,203.3,level
2017-09-01,195.5,level
2017-10-01,186.1,level
2017-11-01,181.0,level
2017-12-01,159.8,level
2018-01-01,148.7,level
2018-02-01,165.3,level
2018-03-01,189.5,level
2018-04-01,182.6,level
2018-05-01,195.0,level
2018-06-01,210.2,level
2018-07-01,168.4,level
2018-08-01,178.1,level
2018-09-01,154.5,level
2018-10-01,162.2,level
2018-11-01,195.6,level
2018-12-01,190.7,level
2019-01-01,174.5,level
2019-02-01,150.1,level
2019-03-01,170.6,level
2019-04-01,155.6,level
2019-05-01,187.2,level
2019-06-01,168.2,level
2019-07-01,146.2,level
2019-08-01,172.3,level
2019-09-01,155.0,level
2019-10-01,148.4,level
2019-11-01,143.4,level
2019-12-01,112.0,level
2020-01-01,149.2,level
2020-02-01,150.9,level
2020-03-01,276.1,level
2020-04-01,287.0,level
2020-05-01,206.4,level
2020-06-01,196.0,level
2020-07-01,187.1,level
2020-08-01,141.9,level
2020-09-01,163.2,level
2020-10-01,113.5,level
2022-08-01,293.5,level
2022-09-01,302.1,level
2022-10-01,312.0,level
2022-11-01,220.3,level
2022-12-01,195.3,level
2023-01-01,217.2,level
2023-02-01,191.1,level
2023-03-01,234.2,level
2023-04-01,216.9,level
2023-05-01,217.4,level
2023-06-01,199.3,level
2023-07-01,173.9,level
2023-08-01,173.6,level
2023-09-01,141.4,level
2023-10-01,123.9,level
2023-11-01,140.0,level
2023-12-01,120.7,level
2024-01-01,127.8,level
2024-02-01,113.8,level
2024-03-01,104.4,level
2024-04-01,78.3,level
2024-05-01,77.9,level
2024-06-01,63.1,level
2024-07-01,86.9,level
2024-08-01,80.8,level
2024-09-01,79.4,level
2024-10-01,86.8,level
2024-11-01,77.6,level
2024-12-01,93.4,level
2025-01-01,93.2,level
2025-02-01,112.2,level
2025-03-01,104.1,level
2025-04-01,136.0,level
2025-05-01,120.0,level
2025-06-01,113.0,level
2025-07-01,92.1,level
2025-08-01,77.7,level
2025-09-01,73.1,level
2025-10-01,81.5,level
2025-11-01,66.1,level
2025-12-01,78.7,level
2026-01-01,92.0,level
2026-02-01,105.6,level
2026-03-01,102.0,level
2026-04-01,74.4,level
2026-05-01,82.5,level
2026-06-01,80.6,level
2026-07-01,82.4,level
2026-08-01,76.4,level
2026-09-01,65.1,level
