date,value,transformation
2023-01-01,895406.5905271001,level
2023-04-01,1717939.86949314,level
2023-07-01,512191.7640182604,level
2023-10-01,152597.5937606995,level
2024-01-01,928581.9325015999,level
2024-04-01,1001449.8297719599,level
2024-07-01,1408860.8460293403,level
2024-10-01,214882.05279849004,level
2025-01-01,653408.38420761,level
2025-04-01,1070014.22437744,level
2025-07-01,1378987.3618139394,level
2025-10-01,729751.5336546306,level
2026-01-01,776687.8649514401,level
2026-04-01,1461605.8187005399,level
