date,value,transformation
2023-03-31,418017.00788573,level
2023-06-30,1111614.68020404,level
2023-09-30,788753.1576603805,level
2023-12-31,903445.8565542502,level
2024-03-31,381660.56728928,level
2024-06-30,732485.5298125099,level
2024-09-30,1184891.7911424702,level
2024-12-31,994933.1664410699,level
2025-03-31,-702.522268980043,level
2025-06-30,1148015.9800942603,level
2025-09-30,1083374.6466171192,level
2025-12-31,1630278.8705836413,level
2026-03-31,482264.72980344994,level
2026-06-30,1788131.8086110405,level
