date,value,transformation
2023-01-01,-35827.698956550004,level
2023-04-01,137571.17877586,level
2023-07-01,-196505.5894,level
2023-10-01,-315967.99780625995,level
2024-01-01,-110347.71163189001,level
2024-04-01,-37784.06406400999,level
2024-07-01,-92950.13537438001,level
2024-10-01,533152.7097693301,level
2025-01-01,-77292.63224846999,level
2025-04-01,-72234.54127498997,level
2025-07-01,-81070.62895453998,level
2025-10-01,753501.8935789998,level
2026-01-01,-90125.68172990001,level
2026-04-01,95678.74807691004,level
