date,value,transformation
2023-03-31,-44337.9314908,level
2023-06-30,142958.63756759,level
2023-09-30,-100097.21039999998,level
2023-12-31,-56918.329300110054,level
2024-03-31,-109871.14630338999,level
2024-06-30,-39010.08709452003,level
2024-09-30,-94414.12202318996,level
2024-12-31,531140.07071926,level
2025-03-31,-74988.84902248999,level
2025-06-30,-68969.69157202997,level
2025-09-30,-80732.18814048005,level
2025-12-31,-53103.99076799996,level
2026-03-31,-83765.43717707001,level
2026-06-30,-142951.75581631996,level
