date,value,transformation
2023-01-01,382189.30892918,level
2023-04-01,1249185.8589798997,level
2023-07-01,592247.5682603805,level
2023-10-01,587477.8587479903,level
2024-01-01,271312.85565738997,level
2024-04-01,694701.4657485,level
2024-07-01,1091941.6557680902,level
2024-10-01,1528085.8762104001,level
2025-01-01,-77995.15451745004,level
2025-04-01,1075781.4388192703,level
2025-07-01,1002304.0176625791,level
2025-10-01,2383780.764162641,level
2026-01-01,392139.04807354993,level
2026-04-01,1883810.5566879504,level
