date,value,transformation
2019-10-01,109888.48587770008,level
2020-01-01,214309.35250448,level
2021-01-01,329394.06733212,level
2021-04-01,254370.21797331003,level
2021-07-01,306443.11887835007,level
2021-10-01,138496.89841074985,level
2022-01-01,405314.67347184,level
2022-04-01,343082.6965281601,level
2022-07-01,398066.87259999994,level
2022-10-01,144296.49509999997,level
2023-01-01,559456.7300252101,level
2023-04-01,513796.54577478993,level
2023-07-01,540868.8146,level
2023-10-01,251636.96430000005,level
2024-01-01,723390.2845831,level
2024-04-01,684583.6906598703,level
2024-07-01,582223.49684495,level
2024-10-01,241553.9249606495,level
2025-01-01,982033.00317685,level
2025-04-01,687589.6155698401,level
2025-07-01,655275.19023153,level
2025-10-01,334497.1181666395,level
2026-01-01,1194927.1597884002,level
2026-04-01,913487.5381439499,level
