date,value,transformation
2019-10-01,92717.02600000003,level
2020-01-01,145718.743,level
2021-01-01,73744.766,level
2021-04-01,6909.248000000005,level
2021-07-01,238451.813,level
2021-10-01,109580.69299999997,level
2022-01-01,122661.0,level
2022-04-01,506981.27800000005,level
2022-07-01,529838.0810000001,level
2022-10-01,54650.42199999993,level
2023-01-01,353144.44982000004,level
2023-04-01,391842.9961800001,level
2023-07-01,366118.90999999986,level
2023-10-01,1262972.539,level
2024-01-01,397493.572,level
2024-04-01,431806.67500000005,level
2024-07-01,432220.101,level
2024-10-01,448116.11400000006,level
2025-01-01,467184.10500000004,level
2025-04-01,540837.6079999999,level
2025-07-01,524215.13400000014,level
2025-10-01,571828.1020000007,level
2026-01-01,553894.851,level
2026-04-01,631157.7789999999,level
