date,value,transformation
2020-01-01,15232.861544939597,level
2021-01-01,16393.93195837872,level
2021-07-01,17513.22159160337,level
2021-10-01,17333.74313182851,level
2022-01-01,17141.640294725334,level
2022-04-01,16845.120772169208,level
2022-07-01,17097.538562961672,level
2022-10-01,16512.98068117965,level
2023-01-01,16953.917220324518,level
2023-04-01,16881.938196648298,level
2023-10-01,16038.070450193687,level
2024-01-01,15577.058467158678,level
2024-04-01,15209.192,level
2024-07-01,15141.65640543,level
2024-10-01,15059.630071610625,level
2025-01-01,15872.175829259999,level
2025-04-01,15901.60969537,level
2025-07-01,16137.331703220001,level
2025-10-01,15908.414,level
2026-01-01,17307.45614441,level
2026-04-01,16999.195085824627,level
2026-07-01,17192.30674,level
