date,value,transformation
2025-02-28,737170.079,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-03-31,1090312.542,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-06-30,2158513.735,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-07-31,2515548.831,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-08-31,2873985.339,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-09-30,3231841.61,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-10-31,3585790.894,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-11-30,3949043.456,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-01-31,430646.023,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-02-28,837970.387,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-03-31,1240814.106,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-05-31,2048661.101,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-06-30,2454119.434,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-07-31,2860823.329,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
