date,value,transformation
2021-01-01,1741971.6845,level
2021-07-01,1727426.8354130501,level
2021-10-01,1791544.821062132,level
2022-01-01,1874497.8050963522,level
2022-04-01,1807125.454423078,level
2022-07-01,1816370.6183262342,level
2022-10-01,1849132.405962794,level
2023-01-01,1801782.3103052946,level
2023-04-01,1827755.973165451,level
2023-10-01,1972689.4300126096,level
2024-01-01,1970631.9309,level
2024-04-01,1798749.688,level
2024-07-01,1886506.8894314799,level
2024-10-01,2144935.905,level
2025-01-01,2301568.10542194,level
2025-04-01,2271173.2440499403,level
2025-07-01,2307210.5419949,level
2025-10-01,2543482.852,level
2026-01-01,2678710.551846,level
2026-04-01,2540461.86428113,level
2026-07-01,2772191.1021999996,level
