date,value,transformation
2025-02-28,258545.99070222,level
2025-03-31,413981.43801995,level
2025-06-30,774743.89632074,level
2025-07-31,884827.91621928,level
2025-08-31,977432.11322968,level
2025-09-30,1057190.93996987,level
2025-10-31,1158271.10878198,level
2025-11-30,1231082.18592623,level
2026-01-31,51783.37820779,level
2026-02-28,298102.8651729,level
2026-03-31,510033.17495029,level
2026-05-31,778700.22239769,level
2026-06-30,878932.72843332,level
2026-07-31,969973.44282966,level
