date,value,transformation
2003-08-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-09-01,105.585,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-10-01,326.985,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-11-01,326.985,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-12-01,326.984605,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-01-01,3203.364,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-02-01,3203.364,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-03-01,3431.219,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-04-01,3549.882,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-05-01,3552.269,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-06-01,3604.722,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-07-01,3639.07,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-08-01,3891.131,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-09-01,4061.2,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-10-01,4061.265,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-11-01,10884.838,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-12-01,10965.412,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-01-01,1881.363,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-02-01,1881.646,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-03-01,1883.769,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-04-01,2087.658,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-05-01,2434.665,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-06-01,2844.838,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-07-01,2847.413,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-08-01,3684.318,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-09-01,3703.898,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
