date,value,transformation
2007-01-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-02-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-03-01,384.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-04-01,109595.963,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-05-01,111114.611,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-06-01,109995.93,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-07-01,109995.93,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-08-01,109995.93,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-09-01,113245.971,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-10-01,113245.971,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-11-01,113552.64,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-12-01,116739.184,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-01-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-02-01,3.745,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-03-01,5714.085,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-04-01,184206.951,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-05-01,184207.941,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-06-01,179133.251,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-07-01,179055.954,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-08-01,179282.458,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-09-01,179282.458,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-10-01,179282.495,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-11-01,184309.685,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-12-01,198538.354,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-01-01,0.018,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-02-01,5905.603,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-03-01,17215.93,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-04-01,232644.986,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-05-01,233607.098,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-06-01,237953.913,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-07-01,237978.215,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-08-01,233202.223,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-09-01,233213.18,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-10-01,233384.524,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-11-01,233318.841,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-12-01,233318.841,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-01-01,485.331,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-02-01,13599.153,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
