date,value,transformation
2009-01-01,115503.339,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-02-01,115865.59,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-03-01,115995.612,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-04-01,118205.701,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-05-01,149724.4,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-06-01,157243.591,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-07-01,157773.593,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-08-01,212056.944,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-09-01,219592.491,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-10-01,238657.429,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-11-01,302994.902,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-12-01,317072.658,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-01-01,223.716,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-02-01,153726.429,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-03-01,164665.507,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-04-01,165878.844,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-05-01,389115.654,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-06-01,390486.135,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-07-01,390750.476,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-08-01,559363.561,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-09-01,562065.518,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-10-01,562850.184,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-11-01,753576.728,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-12-01,775004.685,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-01-01,225.657,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-02-01,147330.851,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-03-01,148093.515,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-04-01,315762.419,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-05-01,421937.922,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-06-01,420724.28,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-07-01,421356.093,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-08-01,662146.635,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-09-01,662739.268,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-10-01,864923.775,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-11-01,966056.277,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-12-01,988233.364,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-01-01,174062.561,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-02-01,240286.68,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-03-01,240804.473,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-04-01,428554.095,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-05-01,534261.945,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-06-01,534155.579,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-07-01,680286.072,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-08-01,774511.358,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-09-01,775440.155,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-10-01,891589.52,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-11-01,985483.95,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-12-01,1019253.185,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-01-01,143571.962,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-02-01,211513.744,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-03-01,206996.895,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-04-01,381800.131,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-05-01,485978.841,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-06-01,488251.308,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-07-01,581727.295,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-08-01,684057.518,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-09-01,688460.168,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-10-01,785685.813,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-11-01,893372.807,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-12-01,918117.121,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-01-01,100833.659,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-02-01,185657.711,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-03-01,185754.464,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-04-01,185902.257,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-05-01,503145.152,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-06-01,503495.388,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-07-01,606495.186,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-08-01,696212.837,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-09-01,696432.912,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-10-01,856598.935,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-11-01,940421.052,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-12-01,956090.202,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-01-01,150655.848,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-02-01,194358.101,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-03-01,194377.104,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-04-01,191648.234,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-05-01,241664.933,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-06-01,242107.317,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-07-01,242779.897,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-08-01,292200.583,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-09-01,302313.037,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-10-01,399040.708,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-11-01,442767.997,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2015-12-01,459942.371,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-01-01,48427.232,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-02-01,82493.084,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-03-01,83726.429,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-04-01,85129.804,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-05-01,145815.097,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-06-01,144575.321,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-07-01,145018.611,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-08-01,198623.417,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-09-01,199785.273,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-10-01,200267.72,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-11-01,256803.866,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2016-12-01,278596.788,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-01-01,318721.603,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-02-01,351904.099,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-03-01,351934.53,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-04-01,423639.811,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-05-01,473573.713,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-06-01,474237.704,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-07-01,474449.987,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-08-01,531734.483,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-09-01,532486.418,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-10-01,533669.302,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-11-01,601279.159,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-12-01,626349.595,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-01-01,310.773,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-02-01,51831.416,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-03-01,52681.708,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
