date,value,transformation
2018-01-01,89143.475,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-02-01,368244.231,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-03-01,454592.603,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-04-01,695484.136,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-06-01,1372574.235,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-07-01,1399343.846,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-08-01,1996327.132,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-09-01,2114125.247,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-10-01,2302302.155,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-12-01,3200814.177,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-01-01,109302.837,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-02-01,569208.754,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-03-01,704422.468,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-04-01,1010211.928,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-05-01,1445154.404,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-06-01,1516501.597,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-07-01,1584359.544,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-08-01,2026925.964,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-09-01,2128494.352,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-10-01,2210940.9,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-11-01,2590016.032,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-12-01,2837206.845,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-01-01,51007.426,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-02-01,357967.289,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-03-01,484856.081,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-04-01,775815.171,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-05-01,1036462.741,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-06-01,1044058.69,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-07-01,1046455.424,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-08-01,1136519.712,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-09-01,1159246.123,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-10-01,1176831.142,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-11-01,1342533.079,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-12-01,1400987.515,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-01-01,41481.034,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-02-01,199656.995,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-03-01,264624.964,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-04-01,386465.609,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-05-01,833024.565,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-06-01,921542.296,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-07-01,960844.664,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-08-01,1374531.873,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-09-01,1507263.158,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-10-01,1599100.141,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-11-01,2249730.812,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-12-01,2605146.854,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-01-01,254182.052,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-02-01,916782.098,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-03-01,1049724.345,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-04-01,2102734.409,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-05-01,2902544.139,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-06-01,3075087.3,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-07-01,3386794.807,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-08-01,4561660.249,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-09-01,4760981.251,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-10-01,4934292.462,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
