date,value,transformation
2018-01-01,114.711,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-02-01,135.363,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-03-01,283.214,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-04-01,369.883,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-06-01,823.393,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-07-01,1013.692,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-08-01,1350.937,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-09-01,3071.437,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-10-01,10260.769,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-12-01,10761.041,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-01-01,1516.538,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-02-01,6939.989,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-03-01,7306.031,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-04-01,10753.766,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-05-01,11694.058,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-06-01,11841.287,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-07-01,15024.261,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-08-01,17603.201,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-09-01,18122.801,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-10-01,19109.01,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-11-01,20583.521,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-12-01,21986.493,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-01-01,-854.482,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-02-01,-543.963,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-03-01,3248.549,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-04-01,3287.289,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-05-01,-3246.053,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-06-01,-3073.614,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-07-01,-2696.38,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-08-01,-2644.248,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-09-01,-2507.181,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-10-01,-1539.128,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-11-01,-1314.124,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-12-01,-752.391,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-01-01,980.806,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-02-01,1289.095,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-03-01,1441.091,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-04-01,1619.057,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-05-01,2223.203,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-06-01,4487.639,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-07-01,5466.538,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-08-01,5515.155,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-09-01,6174.684,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-10-01,6541.542,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-11-01,7448.273,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-12-01,7685.486,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-01-01,373.127,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-02-01,576.725,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-03-01,912.992,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-04-01,1466.034,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-05-01,1722.573,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-06-01,2217.226,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-07-01,2258.754,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-08-01,2608.498,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-09-01,2894.035,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-10-01,2982.051,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-11-01,3806.166,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-12-01,4085.285,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-01-01,65.481,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-02-01,92.272,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-03-01,800.068,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-04-01,1003.125,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-05-01,1078.576,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-06-01,1953.135,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-07-01,2185.464,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-08-01,2448.769,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-09-01,3288.875,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-10-01,7715.143,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-11-01,7876.3291,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-12-01,8464.155,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-01-01,115.0607,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-02-01,585.1118,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-03-01,1264.7622,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-04-01,1536.9582,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-05-01,1650.6208,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-06-01,1679.0018,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-07-01,1928.6105,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-08-01,15843.3827,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-09-01,15926.4896,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-10-01,17093.8097,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-11-01,17121.8382,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-12-01,17400.239,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-01-01,428.4359,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-02-01,526.6237,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-03-01,9167.4948,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-04-01,9397.1811,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-05-01,10690.0242,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-06-01,11394.6919,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-07-01,11668.1113,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-08-01,13763.1433,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-09-01,15282.6662,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-10-01,17102.2149,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-11-01,17923.9945,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-12-01,19461.793,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-01-01,176.9101,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-02-01,319.2741,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-03-01,864.1359,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-06-01,3524.3108,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
