date,value,transformation
2018-01-01,2866.695,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-02-01,5542.693,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-03-01,5465.755,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-04-01,7814.905,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-06-01,8135.317,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-07-01,9372.953,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-08-01,9918.565,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-09-01,10637.493,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-10-01,11384.386,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-12-01,12988.991,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-01-01,4563.816,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-02-01,7746.139,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-03-01,8613.593,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-04-01,12768.494,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-05-01,13047.969,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-06-01,14517.999,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-07-01,15666.745,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-08-01,15778.069,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-09-01,15913.608,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-10-01,16136.668,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-11-01,16273.391,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-12-01,17876.227,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-01-01,21.034,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-02-01,21.769,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-03-01,198.222,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-04-01,-6.475,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-05-01,230.052,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-06-01,283.662,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-07-01,439.447,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-08-01,558.568,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-09-01,767.253,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-10-01,933.664,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-11-01,1233.943,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-12-01,2134.14,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-01-01,155.203,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-02-01,1024.321,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-03-01,1024.49,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-04-01,1024.49,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-05-01,1123.006,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-06-01,6151.51,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-07-01,6314.138,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-08-01,7208.085,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-09-01,8242.119,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-10-01,19263.28,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-11-01,19381.744,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-12-01,20783.459,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-01-01,-466.034,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-02-01,-334.978,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-03-01,8.169,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-04-01,1859.037,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-05-01,3825.471,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-06-01,3915.209,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-07-01,3967.602,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-08-01,4131.49,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-09-01,4269.649,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-10-01,4350.739,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-11-01,4545.419,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-12-01,5596.733,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-01-01,134.36,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-02-01,139.498,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-03-01,219.895,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-04-01,372.352,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-05-01,442.057,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-06-01,572.622,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-07-01,683.019,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-08-01,754.624,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-09-01,879.586,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-10-01,940.617,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-11-01,1009.9299,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-12-01,1236.1243,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-01-01,61.6786,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-02-01,125.7744,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-03-01,184.6117,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-04-01,273.5462,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-05-01,487.1276,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-06-01,712.3187,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-07-01,769.5793,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-08-01,889.3888,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-09-01,989.0883,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-10-01,1083.3094,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-11-01,1264.1894,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-12-01,1456.277,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-01-01,16.6659,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-02-01,-19.1999,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-03-01,18.8048,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-04-01,383.4379,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-05-01,503.1073,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-06-01,1000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-07-01,695.3463,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-08-01,800.6421,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-09-01,906.6902,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-10-01,979.1839,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-11-01,1064.9709,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-12-01,24284.415,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-01-01,27.2883,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-02-01,88.5907,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-03-01,188.5832,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-06-01,438.915,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
