date,value,transformation
2002-01-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-02-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-03-01,33.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-04-01,33.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-05-01,33.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-06-01,33.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-07-01,33.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-08-01,33.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-09-01,33.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-10-01,33.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-11-01,2033.768,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2002-12-01,3425.755116,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-08-01,146.441,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-09-01,490.565,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-10-01,828.007,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-11-01,994.202,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2003-12-01,1426.332212,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2004-08-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2004-09-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2004-10-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2004-11-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2004-12-01,2905.677547,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-01-01,2851.104,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-02-01,5140.796,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-03-01,8124.832,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-04-01,11610.645,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-05-01,14674.92,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-06-01,19525.751,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-07-01,23528.009,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-08-01,28452.576,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-09-01,32578.098,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-10-01,36349.488,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-11-01,40465.603,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-12-01,44496.821,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-01-01,6233.45,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-02-01,10574.316,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-03-01,16206.726,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-04-01,21721.666,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-05-01,28828.92,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-06-01,39787.868,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-07-01,53641.692,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-08-01,60091.715,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-09-01,71771.123,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-10-01,84104.861,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-11-01,87608.081,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-12-01,88509.137,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-01-01,1268.585,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-02-01,4565.501,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-03-01,7584.253,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-04-01,10835.788,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-05-01,14634.474,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-06-01,17525.288,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-07-01,23032.411,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-08-01,28250.397,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-09-01,33722.776,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-10-01,38582.156,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-11-01,43303.503,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-12-01,52525.353,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-01-01,7314.255,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-02-01,17807.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-03-01,24595.826,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-04-01,31172.004,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-05-01,42141.562,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-06-01,52318.613,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-07-01,62258.744,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-08-01,71604.48,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-09-01,79136.808,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-10-01,86743.71,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-11-01,90089.495,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-12-01,93955.461,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-01-01,11648.828,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-02-01,24467.313,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-03-01,41471.168,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-04-01,57031.475,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-05-01,74986.904,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-06-01,92895.916,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-07-01,114584.867,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-08-01,129733.207,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-09-01,147535.847,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-10-01,163377.325,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-11-01,182770.478,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-12-01,195775.342,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-01-01,15267.414,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-02-01,31899.443,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-03-01,52494.438,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-04-01,69842.08,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-05-01,91036.032,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-06-01,109198.553,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-07-01,131508.85,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-08-01,148504.729,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-09-01,164962.002,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-10-01,180731.741,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-11-01,201102.192,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-12-01,219723.563,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-01-01,20269.726,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-02-01,39389.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-03-01,57211.319,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-04-01,57705.3,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-05-01,81482.029,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-06-01,81538.543,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-07-01,81765.051,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-08-01,118555.735,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-09-01,118733.919,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-10-01,119028.433,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-11-01,179715.193,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2013-12-01,180006.942,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-01-01,117.242,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-02-01,67222.098,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-03-01,67373.059,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-04-01,67652.704,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-05-01,136708.705,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-06-01,137413.668,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-07-01,137731.555,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2014-08-01,220199.859,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
