date,value,transformation
2007-01-01,143.191,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-02-01,189.982,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-03-01,258.002,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-04-01,339.985,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-05-01,354.985,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-06-01,407.989,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-07-01,445.185,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-08-01,476.571,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-09-01,504.611,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-10-01,533.48,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-11-01,573.168,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2007-12-01,610.924,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-01-01,49.363,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-02-01,79.363,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-03-01,128.606,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-04-01,147.296,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-05-01,338.405,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-06-01,402.129,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-07-01,546.469,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-08-01,690.95,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-09-01,783.55,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-10-01,893.904,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-11-01,941.343,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2008-12-01,956.11,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-01-01,25.633,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-02-01,59.173,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-03-01,116.552,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-04-01,1436.943,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-05-01,23313.656,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-06-01,28117.058,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-07-01,29009.555,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-08-01,90955.996,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-09-01,88372.143,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-10-01,93122.446,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-11-01,176771.481,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2009-12-01,204357.787,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-01-01,392.123,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-02-01,88262.015,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-03-01,89200.797,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-04-01,92111.303,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-05-01,200703.624,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-06-01,203376.441,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-07-01,204198.824,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-08-01,318600.208,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-09-01,320113.972,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-10-01,320396.869,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-11-01,437685.699,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2010-12-01,470810.149,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-01-01,151.755,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-02-01,106444.619,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-03-01,107558.336,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-04-01,107534.335,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-05-01,315085.097,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-06-01,320747.116,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-07-01,321284.341,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-08-01,558655.624,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-09-01,560049.151,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-10-01,560564.361,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-11-01,780956.613,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2011-12-01,824417.984,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-01-01,26279.941,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-02-01,143797.744,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-03-01,145863.104,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-04-01,146641.911,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2012-05-01,371487.962,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
