date,value,transformation
2018-01-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-02-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-03-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-04-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-06-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-07-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-08-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-09-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-10-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-12-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-01-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-02-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-03-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-04-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-05-01,370000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-06-01,370000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-07-01,370000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-08-01,370000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-09-01,370000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-10-01,370000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-11-01,370000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-12-01,370000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-01-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-02-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-03-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-04-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-05-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-06-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-07-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-08-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-09-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-10-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-11-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-12-01,0.0,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-01-01,128834.4,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-02-01,229139.2,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-03-01,275739.2,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
