date,value,transformation
2025-02-28,560485.86500789,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-03-31,77995.15431745,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-06-30,-997786.28420182,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-07-31,-1525293.29248412,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-08-31,-1517671.03297056,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-09-30,-2000090.30196339,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-10-31,-2906065.8659375,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-11-30,-2881710.631605,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-01-31,343183.04233588,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-02-28,375352.0648204,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-03-31,-392139.04807355,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-05-31,-1521864.31798577,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-06-30,-2275949.6025615,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-07-31,-3128266.99791125,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
