date,value,transformation
2020-01-01,16486847.268489938,level
2021-01-01,20642523.00803071,level
2021-07-01,22222527.500422597,level
2021-10-01,21841130.341015667,level
2022-01-01,21975567.46573108,level
2022-04-01,21694083.26148863,level
2022-07-01,22952845.662668217,level
2022-10-01,23871983.16331235,level
2023-01-01,25317692.955366097,level
2023-04-01,26418906.69969666,level
2023-10-01,29167177.620249115,level
2024-01-01,27165706.39330189,level
2024-04-01,27260274.922,level
2024-07-01,28721442.716479875,level
2024-10-01,30504806.062269196,level
2025-01-01,31838094.866879333,level
2025-04-01,31878508.144813597,level
2025-07-01,33534250.882279526,level
2025-10-01,35503738.175,level
2026-01-01,36444155.17501747,level
2026-04-01,36847200.72413738,level
2026-07-01,38495061.56442599,level
