date,value,transformation
2016-12-01,205230.95545323,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-12-01,255994.199021,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-01-01,31446.64878211,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-02-01,46842.57767987,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-03-01,60834.77701988,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-04-01,81551.67086156,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-05-01,105105.43887479,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-06-01,136011.4932103,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-07-01,169505.44762991,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-08-01,200232.78999706,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-09-01,232095.3990649,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-10-01,264308.27254112,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-11-01,287270.12971375,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-12-01,311855.91362152,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-01-01,37689.92123937,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-02-01,52981.59543293,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-03-01,68678.45267762,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-04-01,93389.48992394,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-05-01,121082.31074826,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-06-01,147206.02799657,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-07-01,188148.46573276,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-08-01,221548.87349452,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-09-01,253684.69858649,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-10-01,285611.5958232,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-11-01,315216.31316894,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-12-01,343409.49020915,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-01-01,46771.62678444,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-02-01,69114.73040374,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-03-01,96141.25341501,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-04-01,121922.68164969,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-05-01,155007.37922299,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-06-01,195585.10854667,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-07-01,240001.17711674,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-08-01,277028.96475834,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-09-01,323314.21212173,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-10-01,360869.36219421,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
