date,value,transformation
2025-02-28,253696.28179088,level
2025-03-31,457333.44835328,level
2025-06-30,1642189.09507622,level
2025-07-31,1985666.2271832,level
2025-08-31,2586588.7774999,level
2025-09-30,3011034.84312081,level
2025-10-31,3447848.849362,level
2025-11-30,4015906.95881689,level
2026-01-31,30976.35148767,level
2026-02-28,269681.0845407,level
2026-03-31,545937.98780687,level
2026-05-31,1217269.06024621,level
2026-06-30,1479118.48198626,level
2026-07-31,1856385.64266227,level
