date,value,transformation
2025-02-28,292235.7656728,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-03-31,452666.30614653,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-06-30,904475.65383855,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-07-31,1023959.67373709,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-08-31,1164528.99610789,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-09-30,1251663.34601132,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-10-31,1410511.29167542,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-11-30,1644704.86453483,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-01-31,58102.22067779,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-02-28,332599.0810429,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-03-31,545344.01412029,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-05-31,983962.21573787,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-06-30,1138035.21997195,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-07-31,1263895.48372795,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
