date,value,transformation
2021-01-01,877205.6171201023,level
2021-07-01,920974.5473158386,level
2021-10-01,1002180.508047239,level
2022-01-01,1172589.2291820254,level
2022-04-01,1241984.4178330426,level
2022-07-01,1379522.3225272836,level
2022-10-01,1364317.2616383452,level
2023-01-01,1303804.527222713,level
2023-04-01,1284844.5778255898,level
2023-10-01,1371172.2745876436,level
2024-01-01,1461867.8774690302,level
2024-04-01,1443836.794,level
2024-07-01,1583809.7971334949,level
2024-10-01,1652927.1193755262,level
2025-01-01,1917095.4246789496,level
2025-04-01,1934438.50443014,level
2025-07-01,2108082.055828796,level
2025-10-01,2424397.146,level
2026-01-01,2292983.8017586176,level
2026-04-01,2225795.7841593744,level
2026-07-01,2414476.280246,level
