date,value,transformation
2016-12-01,6023262.75333695,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-12-01,6810851.28954204,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-01-01,429702.12077486,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-02-01,1286228.18406263,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-03-01,1786080.51661858,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-04-01,2405613.03396011,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-05-01,3163755.87885224,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-06-01,3663479.05084909,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-07-01,4160010.68228973,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-08-01,5044667.76141166,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-09-01,5567939.44629827,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-10-01,6149836.59677766,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-11-01,7115884.06363387,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-12-01,7890048.34149122,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-01-01,566273.69055244,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-02-01,1519270.65653106,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-03-01,2066788.31331438,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-04-01,2777382.17638518,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-05-01,3668186.83183232,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-06-01,4224893.89482396,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-07-01,4795703.23934856,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-08-01,5805004.39171094,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-09-01,6426506.24815542,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-10-01,7035482.52957965,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-11-01,8163584.84257435,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-12-01,9216474.3228544,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-01-01,520872.72104877,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-02-01,1585435.37417167,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-03-01,2104480.74534913,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-04-01,2578083.28090583,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-05-01,3311796.06249585,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-06-01,3770046.14463872,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-07-01,4281978.55607596,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-08-01,5158312.73226857,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-09-01,5762504.02598563,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-10-01,6355355.93152531,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-11-01,7472016.92950546,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-12-01,8561203.06710322,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-01-01,490404.44033649,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-02-01,1391231.27328426,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-03-01,2098218.1345528,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-04-01,3043723.32946623,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-05-01,4147828.89062235,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-06-01,4869199.51700475,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-07-01,5536103.63220508,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-08-01,6804926.71298635,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-09-01,7538229.08947417,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-10-01,8298600.26905456,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-11-01,9627623.7022602,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-12-01,10724319.4189322,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-01-01,1103082.52524317,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-02-01,2640558.4499633,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-03-01,3619156.53779342,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-04-01,4917244.96805361,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-05-01,6293131.55237225,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-06-01,7150149.62923868,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-07-01,8093162.91729454,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-08-01,9640916.01141252,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-09-01,10662799.4727307,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-10-01,11698830.4976477,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-11-01,13499287.3382422,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-12-01,14843310.9990701,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-01-01,1451258.24191708,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-02-01,3308605.37695847,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-03-01,4470263.85979657,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-04-01,5965230.09698719,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-05-01,7810738.07822889,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-06-01,8975664.99934543,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-07-01,10048355.654888,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-08-01,12112593.553511,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-09-01,13318798.5250012,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-10-01,14481705.8891553,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-11-01,16589149.4411493,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-12-01,18912204.4748887,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-01-01,979780.6135075199,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-02-01,3092697.06816094,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-03-01,4358360.25908305,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-04-01,5904419.09685201,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-05-01,7712874.4150129,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-06-01,8901556.94964252,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-07-01,10272222.7666181,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-08-01,12279525.2102643,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-09-01,13594444.9488966,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-10-01,14940754.4208124,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-11-01,17405949.1724278,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-12-01,19700516.9465733,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-01-01,1317249.42631355,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-02-01,3726749.74735863,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-03-01,5170384.14296815,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-04-01,7109204.34174926,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-05-01,9266251.86021576,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-06-01,10719449.3737087,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-07-01,12073505.0301959,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-08-01,14754377.6089047,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-09-01,16314042.4240556,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-10-01,17734683.4421335,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-11-01,20588134.3367825,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-12-01,23188178.6439483,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-01-01,1540942.05331266,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
