date,value,transformation
2016-12-01,1495681.95848907,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2017-12-01,1664699.27011816,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-01-01,104935.25287738,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-02-01,396920.38397174,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-03-01,467053.47657531,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-04-01,583239.21568346,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-05-01,828814.43868135,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-06-01,930353.75622852,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-07-01,1037934.52450272,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-08-01,1345455.77395461,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-09-01,1461744.66030406,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-10-01,1615615.01077804,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-11-01,1955703.7678312,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2018-12-01,2034313.93481333,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-01-01,141603.1648106,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-02-01,494903.60074375,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-03-01,592551.10303361,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-04-01,729919.80741184,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-05-01,1057405.60648444,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-06-01,1184936.23007352,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-07-01,1331284.10857134,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-08-01,1716948.58054811,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-09-01,1883183.98180566,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-10-01,2058403.5952656,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-11-01,2515598.70657852,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2019-12-01,2693127.19348285,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-01-01,111952.31487698,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-02-01,546767.51486417,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-03-01,590553.52834032,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-04-01,643882.61714772,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-05-01,926393.971389,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-06-01,1031109.11749999,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-07-01,1177892.70625962,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-08-01,1548294.21414658,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-09-01,1729261.83178982,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-10-01,1902982.34772755,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-11-01,2394470.70952311,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2020-12-01,2532523.64954988,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-01-01,79815.30503486,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-02-01,305103.95703204,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-03-01,459548.7158945,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-04-01,642620.14628214,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-05-01,1074933.04345775,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-06-01,1282523.91537767,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-07-01,1461001.21574873,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-08-01,1977102.86667785,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-09-01,2112568.18408082,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-10-01,2247054.87057597,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-11-01,2705993.62809908,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-12-01,2807690.80407635,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-01-01,186505.42207922,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-02-01,814721.37292064,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-03-01,990397.39080329,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-04-01,1235968.2915463,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-05-01,1769099.66754758,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-06-01,1857537.17218203,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-07-01,2108745.99611707,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-08-01,2725948.81790275,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-09-01,3022911.78615876,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-10-01,3326396.57999981,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-11-01,4107707.51264005,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-12-01,4226358.8257289,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-01-01,298221.27112193,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
