date,value,transformation
2015-09-02,12.0,level
2015-10-02,16.0,level
2016-02-02,17.0,level
2016-03-15,17.0,level
2016-05-06,15.0,level
2016-06-07,15.0,level
2016-07-12,13.0,level
2016-08-16,13.0,level
2016-10-04,12.5,level
2016-11-15,12.0,level
2017-01-10,12.0,level
2017-02-21,11.0,level
2017-04-11,11.0,level
2017-06-06,10.5,level
2017-07-18,10.5,level
2017-08-22,10.25,level
2017-10-10,10.25,level
2017-11-28,10.25,level
2018-01-16,9.75,level
2018-03-06,9.5,level
2018-04-17,9.25,level
2018-06-05,9.0,level
2018-07-10,9.0,level
2018-09-04,9.0,level
2018-10-16,9.25,level
2018-12-05,9.25,level
2019-01-15,9.25,level
2019-03-05,9.25,level
2019-04-16,9.0,level
2019-06-04,9.0,level
2019-07-16,9.0,level
2019-09-10,9.25,level
2019-10-29,9.25,level
2019-12-10,9.25,level
2020-02-04,9.25,level
2020-03-10,12.0,level
2020-03-17,12.0,level
2020-04-06,9.5,level
2020-04-28,9.5,level
2020-06-09,9.5,level
2020-07-21,9.0,level
2020-09-08,9.0,level
2020-10-27,9.0,level
2020-12-15,9.0,level
2021-01-26,9.0,level
2021-03-10,9.0,level
2021-04-27,9.0,level
2021-06-08,9.0,level
2021-07-27,9.25,level
2021-09-14,9.5,level
2021-10-26,9.75,level
2021-12-07,9.75,level
2022-01-25,10.25,level
2022-02-24,13.5,level
2022-03-10,13.5,level
2022-04-26,14.0,level
2022-06-07,14.0,level
2022-07-26,14.5,level
2022-09-06,14.5,level
2022-10-27,16.0,level
2022-12-06,16.75,level
2023-01-16,16.75,level
2023-02-27,16.75,level
2023-04-10,16.75,level
2023-05-29,16.75,level
2023-07-10,16.75,level
2023-08-28,16.5,level
2023-10-09,16.0,level
2023-11-27,15.75,level
2024-01-22,15.25,level
2024-02-26,14.75,level
2024-04-15,14.75,level
2024-06-03,14.5,level
2024-07-15,14.25,level
2024-09-02,14.25,level
2024-10-14,14.25,level
2024-12-02,15.25,level
2025-01-20,15.25,level
2025-03-11,16.5,level
2025-04-14,16.5,level
2025-06-09,16.5,level
2025-07-14,16.5,level
2025-09-02,16.5,level
2025-10-13,18.0,level
2025-12-01,18.0,level
2026-01-26,18.0,level
2026-03-10,18.0,level
2026-04-27,18.0,level
2026-06-08,17.0,level
2026-07-27,16.75,level
2026-09-07,16.25,level
