date,value,transformation
2005-04-01,-1.432245,level
2005-07-01,8.165763,level
2005-10-01,-1.256623,level
2006-01-01,7.066511,level
2006-04-01,-24.350994,level
2006-07-01,-10.136972,level
2006-10-01,-1.326354,level
2007-01-01,-20.445876,level
2007-04-01,-10.817254,level
2007-07-01,-3.326345,level
2007-10-01,16.094759,level
2008-01-01,5.073619,level
2008-04-01,-3.863561,level
2008-07-01,-6.718117,level
2008-10-01,-3.176559,level
2009-01-01,5.909267,level
2009-04-01,2.55514,level
2009-07-01,4.002334,level
2009-10-01,-5.816108,level
2010-01-01,-5.855813,level
2010-04-01,-15.695801,level
2010-07-01,-0.281029,level
2010-10-01,-0.06228,level
2011-01-01,-0.615919,level
2011-04-01,-17.784116,level
2011-07-01,2.783952,level
2011-10-01,3.18643,level
2012-01-01,5.100267,level
2012-04-01,-5.199976,level
2012-07-01,-0.920648,level
2012-10-01,6.705374,level
2013-01-01,4.857544,level
2013-04-01,-0.669359,level
2013-07-01,1.151794,level
2013-10-01,4.620736,level
2014-01-01,-0.86181,level
2014-04-01,-2.708741,level
2014-07-01,1.01006,level
2014-10-01,-3.750485,level
2015-01-01,-1.859795,level
2015-04-01,-1.139902,level
2015-07-01,1.34746,level
2015-10-01,1.46202,level
2016-01-01,-0.133532,level
2016-04-01,4.133345,level
2016-07-01,-3.313248,level
2016-10-01,-0.965138,level
2017-01-01,0.694645,level
2017-04-01,1.7341,level
2017-07-01,0.888601,level
2017-10-01,-3.159621,level
2018-01-01,3.099605,level
2018-04-01,2.450631,level
2018-07-01,0.225871,level
2018-10-01,-0.262036,level
2019-01-01,1.094829,level
2019-04-01,12.801904,level
2019-07-01,2.33582,level
2019-10-01,0.645105,level
2020-01-01,1.463401,level
2020-04-01,3.445885,level
2020-07-01,-3.480762,level
2020-10-01,5.823157,level
2021-01-01,0.926798,level
2021-04-01,-0.607402,level
2021-07-01,3.598443,level
2021-10-01,-0.375566,level
2022-01-01,5.291228,level
2022-04-01,8.126961,level
2022-07-01,1.548226,level
2022-10-01,-4.500662,level
2023-01-01,0.434229,level
2023-04-01,3.383904,level
2023-07-01,2.963561,level
2023-10-01,5.875824,level
2024-01-01,-1.113539,level
2024-04-01,1.021658,level
2024-07-01,-0.289872,level
2024-10-01,-0.698363,level
2025-01-01,0.917813,level
2025-04-01,2.214093,level
2025-07-01,2.858408,level
2025-10-01,2.629723,level
2026-01-01,0.39885,level
2026-04-01,4.011331,level
