date,value,transformation
2020-04-01,57.4467333,level
2020-07-01,-22.45868373,level
2020-10-01,29.14823717,level
2021-01-01,1281.56756,level
2021-04-01,-127.4366969,level
2021-07-01,-225.456334,level
2021-10-01,-198.6415376,level
2022-01-01,-83.11141562,level
2022-04-01,-332.8594033,level
2022-07-01,-210.5829143,level
2022-10-01,-230.7674437,level
2023-01-01,-274.3441226,level
2023-04-01,-198.8091963,level
2023-07-01,-321.1664373,level
2023-10-01,-248.0567004,level
2024-01-01,-268.5742348,level
2024-04-01,-73.72640656,level
2024-07-01,-103.6553972,level
2024-10-01,-175.6142774,level
2025-01-01,-131.5326766,level
2025-04-01,-99.72807162,level
2025-07-01,-244.6962967,level
2026-01-01,-79.09401,level
2026-04-01,98.708601,level
