date,value,transformation
2000-01-01,-188.947373,level
2000-04-01,-193.564986,level
2000-07-01,-323.632984,level
2000-10-01,-264.022516,level
2001-01-01,-235.583058,level
2001-04-01,-415.300791,level
2001-07-01,-499.72595,level
2001-10-01,-529.85524,level
2002-01-01,-317.740682,level
2002-04-01,-568.163169,level
2002-07-01,-681.338164,level
2002-10-01,-763.145181,level
2003-01-01,-461.844443,level
2003-04-01,-542.096276,level
2003-07-01,-604.981831,level
2003-10-01,-656.751473,level
2004-01-01,-623.077327,level
2004-04-01,-792.318564,level
2004-07-01,-856.217095,level
2004-10-01,-974.230582,level
2005-01-01,-794.829965,level
2005-04-01,-1266.208562,level
2005-07-01,-1524.06903,level
2005-10-01,-1848.867099,level
2006-01-01,-1379.027168,level
2006-04-01,-1679.79046,level
2006-07-01,-1504.759076,level
2006-10-01,-1570.61612,level
2007-01-01,-1419.480971,level
2007-04-01,-2016.574368,level
2007-07-01,-2529.654439,level
2007-10-01,-2477.540093,level
2008-01-01,-1472.118001,level
2008-04-01,-1909.006837,level
2008-07-01,-2007.318113,level
2008-10-01,-1538.070296,level
2009-01-01,-1133.981022,level
2009-04-01,-1471.328652,level
2009-07-01,-1820.178912,level
2009-10-01,-1552.560237,level
2010-01-01,-1485.988786,level
2010-04-01,-1445.604768,level
2010-07-01,-1975.943854,level
2010-10-01,-2342.041418,level
2011-01-01,-986.190309,level
2011-04-01,-1325.411303,level
2011-07-01,-1988.03704,level
2011-10-01,-2335.569792,level
2012-01-01,-1832.750569,level
2012-04-01,-2147.114389,level
2012-07-01,-2480.561623,level
2012-10-01,-2453.214917,level
2013-01-01,-1635.061014,level
2013-04-01,-1886.549222,level
2013-07-01,-2283.328217,level
2013-10-01,-2307.997973,level
2014-01-01,-1464.259923,level
2014-04-01,-1816.617542,level
2014-07-01,-1819.70003,level
2014-10-01,-1742.88508,level
2015-01-01,-832.353533,level
2015-04-01,-1100.456387,level
2015-07-01,-1560.785605,level
2015-10-01,-1283.403274,level
2016-01-01,-826.370979,level
2016-04-01,-729.593086,level
2016-07-01,-1293.567833,level
2016-10-01,-963.057667,level
2017-01-01,-860.38184,level
2017-04-01,-753.553939,level
2017-07-01,-865.548875,level
2017-10-01,-1173.691427,level
2018-01-01,-953.039673,level
2018-04-01,-1061.451864,level
2018-07-01,-1334.880329,level
2018-10-01,-1412.32252,level
2019-01-01,-897.83141,level
2019-04-01,-939.118345,level
2019-07-01,-831.636567,level
2019-10-01,-1118.091615,level
2020-01-01,-920.0200511,level
2020-04-01,-856.0436299,level
2020-07-01,-820.6081611,level
2020-10-01,-640.7056489,level
2021-01-01,-409.1243691,level
2021-04-01,-448.5891977,level
2021-07-01,-534.3369845,level
2021-10-01,-707.486811,level
2022-01-01,-458.2840137,level
2022-04-01,-404.3321439,level
2022-07-01,-206.7770768,level
2022-10-01,-545.2781485,level
2023-01-01,-351.9637413,level
2023-04-01,-402.2117429,level
2023-07-01,-456.6240912,level
2023-10-01,-411.8912051,level
2024-01-01,-267.6666201,level
2024-04-01,-342.8640968,level
2024-07-01,-259.9993102,level
2024-10-01,-290.8330629,level
2025-01-01,-206.5478619,level
2025-04-01,-327.7333122,level
2025-10-01,-453.717197,level
2026-01-01,-219.085907,level
