date,value,transformation
2020-01-01,48.7,level
2020-02-01,48.5,level
2020-03-01,40.4,level
2020-04-01,36.4,level
2020-05-01,42.5,level
2020-06-01,45.1,level
2020-07-01,44.1,level
2020-08-01,45.3,level
2020-09-01,47.2,level
2020-10-01,48.1,level
2020-11-01,48.3,level
2020-12-01,48.0,level
2021-01-01,48.3,level
2021-02-01,48.9,level
2021-03-01,50.6,level
2021-04-01,49.7,level
2021-05-01,50.6,level
2021-06-01,50.8,level
2021-07-01,50.7,level
2021-08-01,50.4,level
2021-09-01,49.8,level
2021-10-01,49.9,level
2021-11-01,49.8,level
2021-12-01,50.3,level
2022-01-01,49.0,level
2022-02-01,50.2,level
2022-03-01,48.2,level
2022-04-01,49.9,level
2022-05-01,49.1,level
2022-06-01,48.6,level
2022-07-01,48.4,level
2022-08-01,48.4,level
2022-09-01,48.6,level
2022-10-01,49.7,level
2022-11-01,49.1,level
2022-12-01,50.0,level
2023-01-01,51.0,level
2023-02-01,49.6,level
2023-03-01,51.7,level
2023-04-01,51.0,level
2023-05-01,50.1,level
2023-06-01,50.5,level
2023-07-01,50.1,level
2023-08-01,49.7,level
2023-09-01,49.3,level
2023-10-01,49.7,level
2023-11-01,49.0,level
2023-12-01,49.2,level
2024-01-01,49.8,level
2024-02-01,50.0,level
2024-03-01,50.7,level
2024-04-01,50.5,level
2024-05-01,50.7,level
2024-06-01,51.4,level
2024-07-01,50.8,level
2024-08-01,51.1,level
2024-09-01,51.0,level
2024-10-01,50.7,level
2024-11-01,51.6,level
2024-12-01,50.8,level
2025-01-01,50.5,level
2025-02-01,51.2,level
2025-03-01,50.7,level
2025-04-01,50.6,level
2025-05-01,51.4,level
2025-06-01,50.6,level
2025-07-01,51.3,level
2025-08-01,50.9,level
2025-09-01,50.8,level
2025-10-01,50.6,level
2025-11-01,50.3,level
2025-12-01,49.9,level
2026-01-01,50.7,level
2026-02-01,49.6,level
2026-03-01,49.5,level
2026-04-01,50.7,level
2026-05-01,51.594739,level
2026-06-01,49.965806,level
2026-07-01,49.771858,level
2026-08-01,50.6423,level
