date,value,transformation
2020-01-01,24889.118,level
2020-02-01,27426.49,level
2020-03-01,27497.402,level
2020-04-01,19487.255,level
2020-05-01,24553.099,level
2020-06-01,26067.945,level
2020-07-01,24185.407,level
2020-08-01,24867.743,level
2020-09-01,24555.881,level
2020-10-01,24971.864,level
2020-11-01,22811.51,level
2020-12-01,26076.548,level
2021-01-01,19899.181,level
2021-02-01,21579.174,level
2021-03-01,23922.334,level
2021-04-01,23234.601,level
2021-05-01,23820.151,level
2021-06-01,24633.155,level
2021-07-01,22934.554,level
2021-08-01,22163.692,level
2021-09-01,21795.762,level
2021-10-01,21879.445,level
2021-11-01,20760.54,level
2021-12-01,24525.641,level
2022-01-01,17958.336,level
2022-02-01,19348.484,level
2022-03-01,22013.066,level
2022-04-01,22327.054,level
2022-05-01,22580.038,level
2022-06-01,23100.646,level
2022-07-01,21938.88,level
2022-08-01,21925.128,level
2022-09-01,20393.781,level
2022-10-01,21042.443,level
2022-11-01,19854.037,level
2022-12-01,21814.047,level
2023-01-01,17261.36,level
2023-02-01,18343.09,level
2023-03-01,20186.097,level
2023-04-01,20426.841,level
2023-05-01,20823.738,level
2023-06-01,20564.71,level
2023-07-01,20591.37,level
2023-08-01,21136.07,level
2023-09-01,19949.899,level
2023-10-01,20736.147,level
2023-11-01,19742.851,level
2023-12-01,21340.974,level
2024-01-01,19670.71,level
2024-02-01,19381.497,level
2024-03-01,20572.749,level
2024-04-01,20437.273,level
2024-05-01,20900.47,level
2024-06-01,20913.107,level
2024-07-01,20477.329,level
2024-08-01,20740.346,level
2024-09-01,19344.487,level
2024-10-01,20305.598,level
2024-11-01,19361.613,level
2024-12-01,20779.054,level
2025-01-01,17597.831,level
2025-02-01,18264.097,level
2025-03-01,19693.08,level
2025-04-01,20143.544,level
2025-05-01,20757.34,level
2025-06-01,20528.527,level
2025-07-01,20206.104,level
2025-08-01,20564.148,level
2026-04-01,18964.1,level
2026-05-01,19236.2,level
2026-06-01,19435.64,level
