date,value,transformation
2020-01-01,1134.698695,level
2020-02-01,1262.329475,level
2020-03-01,1329.896681,level
2020-04-01,999.5502804,level
2020-05-01,1309.954196,level
2020-06-01,1477.878055,level
2020-07-01,1381.072664,level
2020-08-01,1448.104548,level
2020-09-01,1519.435449,level
2020-10-01,1552.592005,level
2020-11-01,1452.853691,level
2020-12-01,1752.121023,level
2021-01-01,1237.404822,level
2021-02-01,1426.291632,level
2021-03-01,1628.465376,level
2021-04-01,1699.922989,level
2021-05-01,1690.231207,level
2021-06-01,1926.352287,level
2021-07-01,1742.331304,level
2021-08-01,1733.089841,level
2021-09-01,1802.432437,level
2021-10-01,1798.517256,level
2021-11-01,1793.628613,level
2021-12-01,2111.294259,level
2022-01-01,1280.612076,level
2022-02-01,1591.394293,level
2022-03-01,1838.748785,level
2022-04-01,1841.376074,level
2022-05-01,1785.233791,level
2022-06-01,1943.210876,level
2022-07-01,1844.859938,level
2022-08-01,1855.926507,level
2022-09-01,1756.036428,level
2022-10-01,1798.202529,level
2022-11-01,1797.087351,level
2022-12-01,2023.762501,level
2023-01-01,1489.103556,level
2023-02-01,1621.105828,level
2023-03-01,1769.855709,level
2023-04-01,1880.150029,level
2023-05-01,1928.901531,level
2023-06-01,1978.54677,level
2023-07-01,2015.21914,level
2023-08-01,2046.547071,level
2023-09-01,1948.6016,level
2023-10-01,2040.686931,level
2023-11-01,2036.150967,level
2023-12-01,2297.471045,level
2024-01-01,1820.251835,level
2024-02-01,1884.696567,level
2024-03-01,1961.053904,level
2024-04-01,2042.198031,level
2024-05-01,2102.008186,level
2024-06-01,2223.452942,level
2024-07-01,2254.925523,level
2024-08-01,2264.144286,level
2024-09-01,2147.350572,level
2024-10-01,2270.910639,level
2024-11-01,2248.090648,level
2024-12-01,2521.613997,level
2025-01-01,1928.366473,level
2025-02-01,2028.906937,level
2025-03-01,2117.929396,level
2025-04-01,2295.789622,level
2025-05-01,2341.551963,level
2025-06-01,2432.796936,level
2025-07-01,2469.848726,level
2025-08-01,2499.464653,level
2026-04-01,2196.1035,level
2026-05-01,2176.8,level
2026-06-01,2391.120909104,level
