date,value,transformation
2020-01-01,1651.922115,level
2020-02-01,1906.858162,level
2020-03-01,2201.73173,level
2020-04-01,1806.584922,level
2020-05-01,2408.103975,level
2020-06-01,2781.761644,level
2020-07-01,2983.061762,level
2020-08-01,3370.480287,level
2020-09-01,3688.472401,level
2020-10-01,3902.344905,level
2020-11-01,3905.276902,level
2020-12-01,4688.20666,level
2021-01-01,3673.808076,level
2021-02-01,4096.014744,level
2021-03-01,4922.896785,level
2021-04-01,5196.498911,level
2021-05-01,5688.405887,level
2021-06-01,6368.27277,level
2021-07-01,6480.496943,level
2021-08-01,6803.998134,level
2021-09-01,6977.010984,level
2021-10-01,7470.358314,level
2021-11-01,7401.637912,level
2021-12-01,8043.897258,level
2022-01-01,5384.410021,level
2022-02-01,6857.361091,level
2022-03-01,8016.640985,level
2022-04-01,7448.400711,level
2022-05-01,7909.726513,level
2022-06-01,8815.999989,level
2022-07-01,9167.165778,level
2022-08-01,9509.307459,level
2022-09-01,9299.50369,level
2022-10-01,9843.614835,level
2022-11-01,10222.94376,level
2022-12-01,11312.54787,level
2023-01-01,8800.30636,level
2023-02-01,9260.655473,level
2023-03-01,10937.55217,level
2023-04-01,10549.32772,level
2023-05-01,11353.96446,level
2023-06-01,11882.27967,level
2023-07-01,12921.82176,level
2023-08-01,12864.24573,level
2023-09-01,12453.64983,level
2023-10-01,13113.24621,level
2023-11-01,13305.23283,level
2023-12-01,14497.92701,level
2024-01-01,10082.91529,level
2024-02-01,11046.07946,level
2024-03-01,11834.43991,level
2024-04-01,12336.30503,level
2024-05-01,13262.55766,level
2024-06-01,14265.00143,level
2024-07-01,14727.81934,level
2024-08-01,15399.21764,level
2024-09-01,14691.87959,level
2024-10-01,15590.89924,level
2024-11-01,15570.81632,level
2024-12-01,17424.17647,level
2025-01-01,12926.54097,level
2025-02-01,13412.12673,level
2025-03-01,14597.7445,level
2025-04-01,15055.64296,level
2025-05-01,15748.26655,level
2025-06-01,15855.63465,level
2025-07-01,16242.413,level
2025-08-01,16869.44556,level
2026-04-01,15606.9783,level
2026-05-01,16219.4,level
2026-06-01,17398.077182644,level
