date,value,transformation
2000-01-01,64.434431,level
2000-04-01,199.204397,level
2000-07-01,-53.748708,level
2000-10-01,156.601565,level
2001-01-01,118.792311,level
2001-04-01,-397.625624,level
2001-07-01,-456.33208,level
2001-10-01,-654.140546,level
2002-01-01,33.000943,level
2002-04-01,-304.410146,level
2002-07-01,-478.127846,level
2002-10-01,-274.620894,level
2003-01-01,468.8316,level
2003-04-01,-195.926538,level
2003-07-01,-80.791673,level
2003-10-01,-464.072148,level
2004-01-01,272.060382,level
2004-04-01,-310.239831,level
2004-07-01,12.698997,level
2004-10-01,361.688198,level
2005-01-01,1622.729013,level
2005-04-01,123.502402,level
2005-07-01,-400.039783,level
2005-10-01,-987.761917,level
2006-01-01,1742.612032,level
2006-04-01,574.227527,level
2006-07-01,-1625.609798,level
2006-10-01,-1513.973567,level
2007-01-01,45.856967,level
2007-04-01,-1846.548299,level
2007-07-01,-1965.559112,level
2007-10-01,-1000.429362,level
2008-01-01,4801.391088,level
2008-04-01,2627.498522,level
2008-07-01,-1517.490616,level
2008-10-01,-4623.924862,level
2009-01-01,-41.992309,level
2009-04-01,-632.12913,level
2009-07-01,273.22284,level
2009-10-01,266.604929,level
2010-01-01,3744.765101,level
2010-04-01,297.08936,level
2010-07-01,-881.667698,level
2010-10-01,-482.052571,level
2011-01-01,9885.333775,level
2011-04-01,1647.896048,level
2011-07-01,1111.397586,level
2011-10-01,1422.91034,level
2012-01-01,4667.827771,level
2012-04-01,254.603821,level
2012-07-01,-1020.808726,level
2012-10-01,-1273.022183,level
2013-01-01,3287.102638,level
2013-04-01,22.583556,level
2013-07-01,-798.046391,level
2013-10-01,2015.578483,level
2014-01-01,3402.958991,level
2014-04-01,260.126363,level
2014-07-01,-2722.171091,level
2014-10-01,-3793.574707,level
2015-01-01,-757.923474,level
2015-04-01,-3598.305206,level
2015-07-01,-3828.011863,level
2015-10-01,-1795.286368,level
2016-01-01,-1279.083767,level
2016-04-01,-1775.099307,level
2016-07-01,-1958.261437,level
2016-10-01,-1952.117735,level
2017-01-01,-866.188681,level
2017-04-01,-1784.322883,level
2017-07-01,-589.2386,level
2017-10-01,-186.93651,level
2018-01-01,180.979045,level
2018-04-01,227.56885,level
2018-07-01,-856.736604,level
2018-10-01,-1317.559773,level
2019-01-01,1177.4966,level
2019-04-01,-2536.713265,level
2019-07-01,-3388.093292,level
2019-10-01,-2280.34354,level
2020-01-01,-597.1990194,level
2020-04-01,-4394.67146,level
2020-07-01,-4734.156817,level
2020-10-01,-1329.008226,level
2021-01-01,113.3538939,level
2021-04-01,-844.9059404,level
2021-07-01,-1904.807968,level
2021-10-01,-43.09866828,level
2022-01-01,4420.288151,level
2022-04-01,1236.914796,level
2022-07-01,1146.724615,level
2022-10-01,-367.5249435,level
2023-01-01,-1632.68135,level
2023-04-01,-3422.078801,level
2023-07-01,-1655.390208,level
2023-10-01,-2605.319332,level
2024-01-01,-253.4558463,level
2024-04-01,-1673.210249,level
2024-07-01,-2105.194182,level
2024-10-01,-3903.6348,level
2025-01-01,-1030.042341,level
2025-04-01,-2861.708944,level
2025-10-01,-5180.443517,level
2026-01-01,-2008.012157,level
