date,value,transformation
2005-04-01,53.202713,level
2005-07-01,61.621824,level
2005-10-01,62.453393,level
2006-01-01,59.940432,level
2006-04-01,55.8418,level
2006-07-01,63.548387,level
2006-10-01,62.561232,level
2007-01-01,59.764543,level
2007-04-01,57.773973,level
2007-07-01,64.27139,level
2007-10-01,62.442698,level
2008-01-01,57.557003,level
2008-04-01,52.214377,level
2008-07-01,52.109181,level
2008-10-01,51.56344,level
2009-01-01,39.755078,level
2009-04-01,31.841952,level
2009-07-01,47.722283,level
2009-10-01,46.819604,level
2010-01-01,44.533601,level
2010-04-01,40.879881,level
2010-07-01,54.665705,level
2010-10-01,55.14259,level
2011-01-01,50.829111,level
2011-04-01,49.640126,level
2011-07-01,56.66224,level
2011-10-01,54.512864,level
2012-01-01,52.774301,level
2012-04-01,47.047894,level
2012-07-01,56.193601,level
2012-10-01,56.784424,level
2013-01-01,51.792115,level
2013-04-01,46.683673,level
2013-07-01,53.044316,level
2013-10-01,52.05738,level
2014-01-01,49.346527,level
2014-04-01,41.951673,level
2014-07-01,51.764706,level
2014-10-01,51.551661,level
2015-01-01,45.669433,level
2015-04-01,31.391586,level
2015-07-01,46.092077,level
2015-10-01,45.766631,level
2016-01-01,41.035714,level
2016-04-01,35.757576,level
2016-07-01,50.159744,level
2016-10-01,51.649521,level
2017-01-01,47.991543,level
2017-04-01,42.087719,level
2017-07-01,53.938237,level
2017-10-01,54.205287,level
2018-01-01,50.526673,level
2018-04-01,43.070972,level
2018-07-01,53.664921,level
2018-10-01,53.867137,level
2019-01-01,51.142857,level
2019-04-01,43.667712,level
2019-07-01,54.351881,level
2019-10-01,54.901356,level
2020-01-01,51.071647,level
2020-04-01,39.562655,level
2020-07-01,44.007376,level
2020-10-01,49.908425,level
2021-01-01,49.710983,level
2021-04-01,43.943065,level
2021-07-01,52.521897,level
2021-10-01,53.893566,level
2022-01-01,53.555356,level
2022-04-01,45.995801,level
2022-07-01,53.186715,level
2022-10-01,54.946043,level
2023-01-01,52.914932,level
2023-04-01,46.53789,level
2023-07-01,52.543129,level
2023-10-01,52.327305,level
2024-01-01,50.531601,level
2024-04-01,45.720189,level
2024-07-01,52.587474,level
2024-10-01,53.215013,level
2025-01-01,51.813171,level
2025-04-01,46.710145,level
2025-07-01,52.548509,level
2025-10-01,52.487062,level
2026-01-01,51.579552,level
2026-04-01,44.873998,level
2026-07-01,51.981751,level
