date,value,transformation
1994-02-01,5690.0,level
1994-03-01,9417.0,level
1994-04-01,54135.0,level
1994-05-01,33476.0,level
1994-06-01,37863.0,level
1994-07-01,36852.0,level
1994-08-01,21700.0,level
1994-09-01,22752.0,level
1994-10-01,27364.0,level
1994-11-01,27601.0,level
1994-12-01,30382.0,level
1995-01-01,35162.0,level
1995-02-01,33915.0,level
1995-03-01,35491.0,level
1995-04-01,39386.0,level
1995-05-01,46696.0,level
1995-06-01,48328.0,level
1995-07-01,52334.0,level
1995-08-01,56551.0,level
1995-09-01,54725.0,level
1995-10-01,54153.0,level
1995-11-01,67403.0,level
1995-12-01,72056.0,level
1996-01-01,67797.0,level
1996-02-01,67910.0,level
1996-03-01,68971.0,level
1996-04-01,64356.0,level
1996-05-01,62649.0,level
1996-06-01,81170.0,level
1996-07-01,60779.0,level
1996-08-01,67166.0,level
1996-09-01,68094.0,level
1996-10-01,67673.0,level
1996-11-01,66061.0,level
1996-12-01,69735.0,level
1997-01-01,72179.0,level
1997-02-01,68981.0,level
1997-03-01,70533.0,level
1997-04-01,75866.0,level
1997-05-01,72503.0,level
1997-06-01,74646.0,level
1997-07-01,76461.0,level
1997-08-01,80210.0,level
1997-09-01,85679.0,level
1997-10-01,91052.0,level
1997-11-01,74488.0,level
1997-12-01,80936.0,level
1998-01-01,80203.0,level
1998-02-01,73514.0,level
1998-03-01,72039.0,level
1998-04-01,75657.0,level
1998-05-01,78995.0,level
1998-06-01,82898.0,level
1998-07-01,81275.0,level
1998-08-01,82454.0,level
1998-09-01,83458.0,level
1998-10-01,79884.0,level
1998-11-01,77807.0,level
1998-12-01,78692.0,level
1999-01-01,79821.0,level
1999-02-01,73465.0,level
1999-03-01,73055.0,level
1999-04-01,72625.0,level
1999-05-01,82987.0,level
1999-06-01,94194.0,level
1999-07-01,100084.0,level
1999-08-01,112783.0,level
1999-09-01,120680.0,level
1999-10-01,126445.0,level
1999-11-01,136378.0,level
1999-12-01,137938.0,level
2000-01-01,170394.0,level
2000-02-01,168156.0,level
2000-03-01,174517.0,level
2000-04-01,173359.0,level
2000-05-01,179474.0,level
2000-06-01,193277.0,level
2000-07-01,222158.0,level
2000-08-01,244612.0,level
2000-09-01,248751.0,level
2000-10-01,253654.0,level
2000-11-01,282191.0,level
2000-12-01,286887.0,level
2001-01-01,290587.0,level
2001-02-01,284533.0,level
2001-03-01,301165.0,level
2001-04-01,316740.0,level
2001-05-01,302175.0,level
2001-06-01,307752.0,level
2001-07-01,357542.0,level
2001-08-01,393194.0,level
2001-09-01,391463.0,level
2001-10-01,409590.0,level
2001-11-01,400620.0,level
2001-12-01,405185.0,level
2002-01-01,444848.0,level
2002-02-01,420724.0,level
2002-03-01,417810.0,level
2002-04-01,433767.0,level
2002-05-01,455542.0,level
2002-06-01,474498.0,level
2002-07-01,480763.0,level
2002-08-01,496123.0,level
2002-09-01,497903.0,level
2002-10-01,530375.0,level
2002-11-01,556579.0,level
2002-12-01,546351.0,level
2003-01-01,603253.0,level
2003-02-01,581932.0,level
2003-03-01,618859.0,level
2003-04-01,633785.0,level
2003-05-01,649553.0,level
2003-06-01,679064.0,level
2003-07-01,702281.0,level
2003-08-01,703334.0,level
2003-09-01,703135.0,level
2003-10-01,766908.0,level
2003-11-01,759162.0,level
2003-12-01,761052.0,level
2004-01-01,733204.0,level
2004-02-01,739468.0,level
2004-03-01,776009.0,level
2004-04-01,809292.0,level
2004-05-01,834035.0,level
2004-06-01,887372.0,level
2004-07-01,939231.0,level
2004-08-01,932676.0,level
2004-09-01,974293.0,level
2004-10-01,1017073.0,level
2004-11-01,1044638.0,level
2004-12-01,1186997.0,level
2005-01-01,1270842.0,level
2005-02-01,1219177.0,level
2005-03-01,1282048.0,level
2005-04-01,1381228.0,level
2005-05-01,1309423.0,level
2005-06-01,1393422.0,level
2005-07-01,1443868.0,level
2005-08-01,1466544.0,level
2005-09-01,1479340.0,level
2005-10-01,1601114.0,level
2005-11-01,1618908.0,level
2005-12-01,1617000.0,level
2006-01-01,1653535.0,level
2006-02-01,1613509.0,level
2006-03-01,1771462.0,level
2006-04-01,1895923.0,level
2006-05-01,1856725.0,level
2006-06-01,2010526.0,level
2006-07-01,2154084.0,level
2006-08-01,2241117.0,level
2006-09-01,2410170.0,level
2006-10-01,2502215.0,level
2006-11-01,2708688.0,level
2006-12-01,2863061.0,level
2007-01-01,3076729.0,level
2007-02-01,3008741.0,level
2007-03-01,3180727.0,level
2007-04-01,3283540.0,level
2007-05-01,3278315.0,level
2007-06-01,3480670.0,level
2007-07-01,3696121.0,level
2007-08-01,3802238.0,level
2007-09-01,3766036.0,level
2007-10-01,3708016.0,level
2007-11-01,3627117.0,level
2007-12-01,3834920.0,level
2008-01-01,3890142.0,level
2008-02-01,3918744.0,level
2008-03-01,3967557.0,level
2008-04-01,4118782.0,level
2008-05-01,4133482.0,level
