date,value,transformation
1999-11-17,16.89,level
1999-11-18,16.89,level
1999-11-19,16.89,level
1999-11-22,16.79,level
1999-11-23,16.79,level
1999-11-24,16.69,level
1999-11-25,16.69,level
1999-11-26,16.69,level
1999-11-29,16.67,level
1999-11-30,16.67,level
1999-12-01,16.67,level
1999-12-02,16.67,level
1999-12-03,16.67,level
1999-12-06,16.69,level
1999-12-07,16.69,level
1999-12-08,16.71,level
1999-12-09,16.71,level
1999-12-10,16.71,level
1999-12-13,16.71,level
1999-12-14,16.71,level
1999-12-15,16.7,level
1999-12-16,16.7,level
1999-12-17,16.7,level
1999-12-20,16.7,level
1999-12-22,16.7,level
1999-12-23,16.7,level
1999-12-24,16.7,level
1999-12-27,16.69,level
1999-12-28,16.69,level
1999-12-29,16.69,level
1999-12-30,16.69,level
1999-12-31,16.69,level
2000-01-03,16.69,level
2000-01-04,16.69,level
2000-01-05,16.69,level
2000-01-06,16.69,level
2000-01-07,16.69,level
2000-01-10,16.75,level
2000-01-11,16.75,level
2000-01-12,16.78,level
2000-01-13,16.78,level
2000-01-14,16.78,level
2000-01-17,16.84,level
2000-01-18,16.84,level
2000-01-19,16.85,level
2000-01-20,16.85,level
2000-01-21,16.85,level
2000-01-24,16.85,level
2000-01-25,16.85,level
2000-01-26,16.85,level
2000-01-27,16.85,level
2000-01-28,16.85,level
2000-01-31,16.85,level
2000-02-01,16.85,level
2000-02-02,16.84,level
2000-02-03,16.84,level
2000-02-04,16.84,level
2000-02-07,16.84,level
2000-02-08,16.84,level
2000-02-09,16.87,level
2000-02-10,16.87,level
2000-02-11,16.87,level
2000-02-14,16.89,level
2000-02-15,16.89,level
2000-02-16,16.89,level
2000-02-17,16.89,level
2000-02-18,16.89,level
2000-02-21,16.91,level
2000-02-22,16.91,level
2000-02-23,16.93,level
2000-02-24,16.93,level
2000-02-25,16.93,level
2000-02-28,16.93,level
2000-02-29,16.93,level
2000-03-01,16.97,level
2000-03-02,16.97,level
2000-03-03,16.97,level
2000-03-06,17.01,level
2000-03-07,17.01,level
2000-03-08,17.04,level
2000-03-09,17.04,level
2000-03-10,17.04,level
2000-03-13,17.07,level
2000-03-14,17.07,level
2000-03-15,17.07,level
2000-03-16,17.07,level
2000-03-17,17.07,level
2000-03-20,17.09,level
2000-03-21,17.09,level
2000-03-22,17.09,level
2000-03-23,17.09,level
2000-03-24,17.09,level
2000-03-27,17.1,level
2000-03-28,17.1,level
2000-03-29,17.13,level
2000-03-30,17.13,level
2000-03-31,17.13,level
2000-04-03,17.14,level
2000-04-04,17.14,level
2000-04-05,17.14,level
2000-04-06,17.14,level
2000-04-07,17.14,level
2000-04-10,17.18,level
2000-04-11,17.18,level
2000-04-12,17.2,level
2000-04-13,17.2,level
2000-04-14,17.2,level
2000-04-17,17.18,level
2000-04-18,17.18,level
2000-04-19,17.18,level
2000-04-20,17.18,level
2000-04-21,17.18,level
2000-04-24,17.18,level
2000-04-25,17.18,level
2000-04-26,17.17,level
2000-04-27,17.17,level
2000-04-28,17.17,level
2000-05-01,17.17,level
2000-05-02,17.17,level
2000-05-03,17.16,level
2000-05-04,17.16,level
2000-05-05,17.16,level
2000-05-08,17.16,level
2000-05-09,17.16,level
2000-05-10,17.16,level
2000-05-11,17.16,level
2000-05-12,17.16,level
2000-05-15,17.2,level
2000-05-16,17.2,level
2000-05-17,17.2,level
2000-05-18,17.2,level
2000-05-19,17.2,level
2000-05-22,17.2,level
2000-05-23,17.2,level
2000-05-24,17.2,level
2000-05-25,17.2,level
2000-05-26,17.2,level
2000-05-29,17.2,level
2000-05-30,17.2,level
2000-05-31,17.2,level
2000-06-01,17.2,level
2000-06-02,17.2,level
2000-06-05,17.21,level
2000-06-06,17.21,level
2000-06-07,17.21,level
2000-06-08,17.21,level
2000-06-09,17.21,level
2000-06-12,17.22,level
2000-06-13,17.22,level
2000-06-14,17.22,level
2000-06-15,17.22,level
2000-06-16,17.22,level
2000-06-19,17.22,level
2000-06-20,17.22,level
2000-06-21,17.22,level
2000-06-22,17.22,level
2000-06-23,17.22,level
2000-06-26,17.23,level
2000-06-27,17.23,level
2000-06-28,17.23,level
2000-06-29,17.23,level
2000-06-30,17.23,level
2000-07-03,17.24,level
2000-07-04,17.24,level
2000-07-05,17.24,level
2000-07-06,17.24,level
2000-07-07,17.24,level
2000-07-10,17.24,level
2000-07-11,17.24,level
2000-07-12,17.24,level
2000-07-13,17.24,level
2000-07-14,17.24,level
2000-07-17,17.24,level
2000-07-18,17.24,level
2000-07-19,17.24,level
2000-07-20,17.24,level
2000-07-21,17.24,level
2000-07-24,17.24,level
2000-07-25,17.24,level
2000-07-26,17.24,level
2000-07-27,17.24,level
2000-07-28,17.24,level
2000-07-31,17.24,level
2000-08-01,17.24,level
2000-08-02,17.24,level
2000-08-03,17.24,level
2000-08-04,17.24,level
2000-08-07,17.23,level
2000-08-08,17.23,level
2000-08-09,17.23,level
2000-08-10,17.23,level
2000-08-11,17.23,level
2000-08-14,17.23,level
2000-08-15,17.23,level
2000-08-16,17.23,level
2000-08-17,17.23,level
2000-08-18,17.23,level
2000-08-21,17.23,level
2000-08-22,17.23,level
2000-08-23,17.23,level
2000-08-24,17.23,level
2000-08-25,17.23,level
2000-08-28,17.23,level
2000-08-29,17.23,level
2000-08-30,17.23,level
2000-08-31,17.23,level
2000-09-01,17.23,level
2000-09-04,17.23,level
2000-09-05,17.23,level
2000-09-06,17.23,level
2000-09-07,17.23,level
2000-09-08,17.23,level
2000-09-11,17.24,level
2000-09-12,17.24,level
2000-09-13,17.24,level
2000-09-14,17.24,level
2000-09-15,17.24,level
2000-09-18,17.25,level
2000-09-19,17.25,level
2000-09-20,17.25,level
2000-09-21,17.25,level
2000-09-22,17.25,level
2000-09-25,17.25,level
2000-09-26,17.25,level
2000-09-27,17.25,level
2000-09-28,17.25,level
2000-09-29,17.25,level
2000-10-02,17.23,level
2000-10-03,17.23,level
2000-10-04,17.23,level
2000-10-05,17.23,level
2000-10-06,17.23,level
2000-10-09,17.22,level
2000-10-10,17.22,level
2000-10-11,17.22,level
2000-10-12,17.22,level
2000-10-13,17.22,level
2000-10-16,17.23,level
2000-10-17,17.23,level
2000-10-18,17.23,level
2000-10-19,17.23,level
2000-10-20,17.23,level
2000-10-23,17.23,level
2000-10-24,17.23,level
2000-10-25,17.23,level
2000-10-26,17.23,level
2000-10-27,17.23,level
2000-10-30,17.23,level
2000-10-31,17.23,level
2000-11-01,17.23,level
2000-11-02,17.23,level
2000-11-03,17.23,level
2000-11-06,17.24,level
2000-11-07,17.24,level
2000-11-08,17.24,level
2000-11-09,17.24,level
2000-11-10,17.24,level
2000-11-13,17.4,level
2000-11-14,17.4,level
2000-11-15,17.4,level
2000-11-16,17.4,level
2000-11-17,17.4,level
2000-11-20,17.41,level
2000-11-21,17.41,level
2000-11-22,17.41,level
2000-11-23,17.41,level
2000-11-24,17.41,level
2000-11-27,17.41,level
2000-11-28,17.41,level
2000-11-29,17.41,level
2000-11-30,17.41,level
2000-12-01,17.41,level
2000-12-04,17.42,level
2000-12-05,17.42,level
2000-12-06,17.42,level
2000-12-07,17.42,level
2000-12-08,17.42,level
2000-12-11,17.43,level
2000-12-12,17.43,level
2000-12-13,17.43,level
2000-12-14,17.43,level
2000-12-15,17.43,level
2000-12-18,17.45,level
2000-12-19,17.45,level
2000-12-20,17.45,level
2000-12-21,17.45,level
2000-12-22,17.45,level
2000-12-25,17.46,level
2000-12-26,17.46,level
2000-12-27,17.46,level
2000-12-28,17.46,level
2000-12-29,17.46,level
2001-01-01,17.52,level
2001-01-02,17.52,level
2001-01-03,17.52,level
2001-01-04,17.52,level
2001-01-05,17.52,level
2001-01-08,17.53,level
2001-01-09,17.53,level
2001-01-10,17.53,level
2001-01-11,17.53,level
2001-01-12,17.53,level
2001-01-15,17.53,level
2001-01-16,17.53,level
2001-01-17,17.53,level
2001-01-18,17.53,level
2001-01-19,17.53,level
2001-01-22,17.53,level
2001-01-23,17.53,level
2001-01-24,17.53,level
2001-01-25,17.53,level
2001-01-26,17.53,level
2001-01-29,17.53,level
2001-01-30,17.53,level
2001-01-31,17.53,level
2001-02-01,17.53,level
2001-02-02,17.53,level
2001-02-05,17.54,level
2001-02-06,17.54,level
2001-02-07,17.54,level
2001-02-08,17.54,level
2001-02-09,17.54,level
2001-02-12,17.55,level
2001-02-13,17.55,level
2001-02-14,17.55,level
2001-02-15,17.55,level
2001-02-16,17.55,level
2001-02-19,17.55,level
2001-02-20,17.55,level
2001-02-21,17.55,level
2001-02-22,17.55,level
