date,value,transformation
1999-11-17,146.76,level
1999-11-18,146.76,level
1999-11-19,146.76,level
1999-11-22,145.13,level
1999-11-23,145.13,level
1999-11-24,144.46,level
1999-11-25,144.46,level
1999-11-26,144.46,level
1999-11-29,143.18,level
1999-11-30,143.18,level
1999-12-01,142.73,level
1999-12-02,142.73,level
1999-12-03,142.73,level
1999-12-06,143.02,level
1999-12-07,143.02,level
1999-12-08,144.59,level
1999-12-09,144.59,level
1999-12-10,144.59,level
1999-12-13,143.77,level
1999-12-14,143.77,level
1999-12-15,142.22,level
1999-12-16,142.22,level
1999-12-17,142.22,level
1999-12-20,142.22,level
1999-12-22,142.26,level
1999-12-23,142.26,level
1999-12-24,142.26,level
1999-12-27,143.59,level
1999-12-28,143.59,level
1999-12-29,143.65,level
1999-12-30,143.65,level
1999-12-31,143.65,level
2000-01-03,143.65,level
2000-01-04,143.65,level
2000-01-05,146.55,level
2000-01-06,146.55,level
2000-01-07,146.55,level
2000-01-10,146.35,level
2000-01-11,146.35,level
2000-01-12,145.91,level
2000-01-13,145.91,level
2000-01-14,145.91,level
2000-01-17,147.03,level
2000-01-18,147.03,level
2000-01-19,143.75,level
2000-01-20,143.75,level
2000-01-21,143.75,level
2000-01-24,145.73,level
2000-01-25,145.73,level
2000-01-26,145.76,level
2000-01-27,145.76,level
2000-01-28,145.76,level
2000-01-31,142.17,level
2000-02-01,142.17,level
2000-02-02,140.0,level
2000-02-03,140.0,level
2000-02-04,140.0,level
2000-02-07,139.95,level
2000-02-08,139.95,level
2000-02-09,140.1,level
2000-02-10,140.1,level
2000-02-11,140.1,level
2000-02-14,140.12,level
2000-02-15,140.12,level
2000-02-16,140.0,level
2000-02-17,140.0,level
2000-02-18,140.0,level
2000-02-21,139.65,level
2000-02-22,139.65,level
2000-02-23,141.59,level
2000-02-24,141.59,level
2000-02-25,141.59,level
2000-02-28,141.52,level
2000-02-29,141.52,level
2000-03-01,139.74,level
2000-03-02,139.74,level
2000-03-03,139.74,level
2000-03-06,139.43,level
2000-03-07,139.43,level
2000-03-08,139.0,level
2000-03-09,139.0,level
2000-03-10,139.0,level
2000-03-13,139.39,level
2000-03-14,139.39,level
2000-03-15,139.64,level
2000-03-16,139.64,level
2000-03-17,139.64,level
2000-03-20,140.25,level
2000-03-21,140.25,level
2000-03-22,140.71,level
2000-03-23,140.71,level
2000-03-24,140.71,level
2000-03-27,141.02,level
2000-03-28,141.02,level
2000-03-29,139.82,level
2000-03-30,139.82,level
2000-03-31,139.82,level
2000-04-03,140.53,level
2000-04-04,140.53,level
2000-04-05,139.09,level
2000-04-06,139.09,level
2000-04-07,139.09,level
2000-04-10,140.98,level
2000-04-11,140.98,level
2000-04-12,140.38,level
2000-04-13,140.38,level
2000-04-14,140.38,level
2000-04-17,140.89,level
2000-04-18,140.89,level
2000-04-19,140.23,level
2000-04-20,140.23,level
2000-04-21,140.23,level
2000-04-24,136.48,level
2000-04-25,136.48,level
2000-04-26,136.11,level
2000-04-27,136.11,level
2000-04-28,136.11,level
2000-05-01,132.07,level
2000-05-02,132.07,level
2000-05-03,132.81,level
2000-05-04,132.81,level
2000-05-05,132.81,level
2000-05-08,134.96,level
2000-05-09,134.96,level
2000-05-10,134.96,level
2000-05-11,134.96,level
2000-05-12,134.96,level
2000-05-15,132.43,level
2000-05-16,132.43,level
2000-05-17,133.12,level
2000-05-18,133.12,level
2000-05-19,133.12,level
2000-05-22,129.58,level
2000-05-23,129.58,level
2000-05-24,133.08,level
2000-05-25,133.08,level
2000-05-26,133.08,level
2000-05-29,131.63,level
2000-05-30,131.63,level
2000-05-31,134.47,level
2000-06-01,134.47,level
2000-06-02,134.47,level
2000-06-05,134.28,level
2000-06-06,134.28,level
2000-06-07,134.28,level
2000-06-08,134.28,level
2000-06-09,134.28,level
2000-06-12,137.15,level
2000-06-13,137.15,level
2000-06-14,137.15,level
2000-06-15,137.15,level
2000-06-16,137.15,level
2000-06-19,137.46,level
2000-06-20,137.46,level
2000-06-21,137.46,level
2000-06-22,137.46,level
2000-06-23,137.46,level
2000-06-26,136.72,level
2000-06-27,136.72,level
2000-06-28,136.72,level
2000-06-29,136.72,level
2000-06-30,136.72,level
2000-07-03,137.86,level
2000-07-04,137.86,level
2000-07-05,137.86,level
2000-07-06,137.86,level
2000-07-07,137.86,level
2000-07-10,136.48,level
2000-07-11,136.48,level
2000-07-12,136.48,level
2000-07-13,136.48,level
2000-07-14,136.48,level
2000-07-17,135.61,level
2000-07-18,135.61,level
2000-07-19,135.61,level
2000-07-20,135.61,level
2000-07-21,135.61,level
2000-07-24,135.6,level
2000-07-25,135.6,level
2000-07-26,135.6,level
2000-07-27,135.6,level
2000-07-28,135.6,level
2000-07-31,134.19,level
2000-08-01,134.19,level
2000-08-02,134.19,level
2000-08-03,134.19,level
2000-08-04,134.19,level
2000-08-07,131.9,level
2000-08-08,131.9,level
2000-08-09,131.9,level
2000-08-10,131.9,level
2000-08-11,131.9,level
2000-08-14,131.28,level
2000-08-15,131.28,level
2000-08-16,131.28,level
2000-08-17,131.28,level
2000-08-18,131.28,level
2000-08-21,131.97,level
2000-08-22,131.97,level
2000-08-23,131.97,level
2000-08-24,131.97,level
2000-08-25,131.97,level
2000-08-28,129.8,level
2000-08-29,129.8,level
2000-08-30,129.8,level
2000-08-31,129.8,level
2000-09-01,129.8,level
2000-09-04,128.34,level
2000-09-05,128.34,level
2000-09-06,128.34,level
2000-09-07,128.34,level
2000-09-08,128.34,level
2000-09-11,127.24,level
2000-09-12,127.24,level
2000-09-13,127.24,level
2000-09-14,127.24,level
2000-09-15,127.24,level
2000-09-18,126.27,level
2000-09-19,126.27,level
2000-09-20,126.27,level
2000-09-21,126.27,level
2000-09-22,126.27,level
2000-09-25,125.68,level
2000-09-26,125.68,level
2000-09-27,125.68,level
2000-09-28,125.68,level
2000-09-29,125.68,level
2000-10-02,128.32,level
2000-10-03,128.32,level
2000-10-04,128.32,level
2000-10-05,128.32,level
2000-10-06,128.32,level
2000-10-09,126.83,level
2000-10-10,126.83,level
2000-10-11,126.83,level
2000-10-12,126.83,level
2000-10-13,126.83,level
2000-10-16,125.55,level
2000-10-17,125.55,level
2000-10-18,125.55,level
2000-10-19,125.55,level
2000-10-20,125.55,level
2000-10-23,124.14,level
2000-10-24,124.14,level
2000-10-25,124.14,level
2000-10-26,124.14,level
2000-10-27,124.14,level
2000-10-30,121.25,level
2000-10-31,121.25,level
2000-11-01,121.25,level
2000-11-02,121.25,level
2000-11-03,121.25,level
2000-11-06,127.85,level
2000-11-07,127.85,level
2000-11-08,127.85,level
2000-11-09,127.85,level
2000-11-10,127.85,level
2000-11-13,128.26,level
2000-11-14,128.26,level
2000-11-15,128.26,level
2000-11-16,128.26,level
2000-11-17,128.26,level
2000-11-20,127.67,level
2000-11-21,127.67,level
2000-11-22,127.67,level
