date,value,transformation
2023-01-01,494.2175127560394,level
2023-02-01,500.09246368125713,level
2023-03-01,481.2680486224477,level
2023-04-01,489.425031277527,level
2023-05-01,497.7010048992442,level
2023-06-01,485.52721110864775,level
2023-07-01,486.7645345915705,level
2023-08-01,493.45562869515624,level
2023-09-01,493.23837507332325,level
2023-10-01,499.7257495428145,level
2023-11-01,501.93701527424804,level
2023-12-01,501.8964126319409,level
2024-01-01,500.4845225198605,level
2024-02-01,493.9597781117849,level
2024-03-01,484.3027685689158,level
2024-04-01,487.9880791933384,level
2024-05-01,477.01551210630737,level
2024-06-01,478.71509736742024,level
2024-07-01,492.48774238062487,level
2024-08-01,515.5118518502036,level
2024-09-01,524.5997152322444,level
2024-10-01,533.0543183469989,level
2024-11-01,529.139902063699,level
2024-12-01,524.306719664216,level
2025-01-01,544.43809007167,level
2025-02-01,541.9018633125341,level
2025-03-01,520.103468220573,level
2025-04-01,540.007947303249,level
2025-05-01,587.6398528864216,level
2025-06-01,576.7590054176108,level
2025-07-01,588.4549746797239,level
2025-08-01,622.2988724931653,level
2025-09-01,625.0761112116277,level
2025-10-01,634.8146538883343,level
2025-11-01,627.9016200547197,level
2025-12-01,602.7544223131395,level
2026-01-01,598.5172108507621,level
2026-02-01,595.8290113516616,level
2026-03-01,586.2227253958952,level
2026-04-01,564.675228343441,level
2026-05-01,548.967866352598,level
2026-06-01,549.7154520851624,level
2026-07-01,561.7262544604678,level
2026-08-01,539.1738630563711,level
