date,value,transformation
2023-01-01,7.22147776386005,level
2023-02-01,6.553204640162121,level
2023-03-01,6.1137803281276755,level
2023-04-01,5.91926533402297,level
2023-05-01,5.549002372652407,level
2023-06-01,5.637071199043719,level
2023-07-01,5.37207342462551,level
2023-08-01,4.879161672760574,level
2023-09-01,4.693504657366079,level
2023-10-01,4.809321174051338,level
2023-11-01,4.885011589799716,level
2023-12-01,5.121360802927699,level
2024-01-01,5.025589848556653,level
2024-02-01,5.078224177387815,level
2024-03-01,4.9514555441437755,level
2024-04-01,4.871114996076973,level
2024-05-01,4.774887208584829,level
2024-06-01,4.865350135341228,level
2024-07-01,5.202094883246965,level
2024-08-01,5.430616735859003,level
2024-09-01,5.320013354572557,level
2024-10-01,5.207528511195026,level
2024-11-01,5.04768750553219,level
2024-12-01,4.898607122967147,level
2025-01-01,5.114756720611198,level
2025-02-01,5.185200069968684,level
2025-03-01,5.3440145900474505,level
2025-04-01,5.824242886030211,level
2025-05-01,6.126857868060103,level
2025-06-01,6.335541109963258,level
2025-07-01,6.520177283332588,level
2025-08-01,6.450420480270951,level
2025-09-01,6.246783429652082,level
2025-10-01,6.464098654426004,level
2025-11-01,6.620101106848095,level
2025-12-01,6.5509847350697825,level
2026-01-01,6.494891909018132,level
2026-02-01,6.498552790086442,level
2026-03-01,6.427722712187114,level
2026-04-01,5.9527340049196615,level
2026-05-01,6.090553743345362,level
2026-06-01,6.513890045985644,level
2026-07-01,6.595063789102116,level
2026-08-01,6.04232729279101,level
