date,value,transformation
2020-04-01,6.358561,level
2020-07-01,6.392133,level
2020-10-01,6.562882,level
2021-01-01,6.297536,level
2021-04-01,5.996366,level
2021-07-01,6.161281,level
2021-10-01,6.374023,level
2022-01-01,6.750675,level
2022-04-01,6.658668,level
2022-07-01,6.672651,level
2022-10-01,6.085132,level
2023-01-01,6.424747,level
2023-04-01,5.794948,level
2023-07-01,6.038073,level
2023-10-01,6.107323,level
2024-01-01,6.231542,level
2024-04-01,6.257379,level
2024-07-01,5.93943,level
2024-10-01,6.16817,level
2025-01-01,6.005222,level
2025-04-01,6.434783,level
2025-07-01,6.25543,level
2025-10-01,6.52674,level
2026-01-01,7.23722,level
2026-04-01,6.872852,level
2026-07-01,6.472769,level
