date,value,transformation
2005-04-01,34256.103505,level
2005-07-01,35724.692246,level
2005-10-01,38277.611256,level
2006-01-01,43428.527753,level
2006-04-01,48369.473341,level
2006-07-01,53969.644947,level
2006-10-01,60146.598979,level
2007-01-01,74014.089947,level
2007-04-01,81905.912897,level
2007-07-01,92367.908623,level
2007-10-01,94248.343097,level
2008-01-01,96893.004177,level
2008-04-01,98877.327875,level
2008-07-01,101204.662718,level
2008-10-01,105995.329976,level
2009-01-01,107933.377621,level
2009-04-01,104803.672571,level
2009-07-01,106675.740478,level
2009-10-01,111527.936479,level
2010-01-01,112866.889315,level
2010-04-01,110861.490026,level
2010-07-01,113619.656893,level
2010-10-01,111518.69313,level
2011-01-01,118222.763569,level
2011-04-01,123359.159137,level
2011-07-01,124897.278808,level
2011-10-01,123708.361986,level
2012-01-01,125320.777887,level
2012-04-01,129154.054921,level
2012-07-01,132535.864969,level
2012-10-01,134414.115527,level
2013-01-01,136918.219279,level
2013-04-01,139691.461465,level
2013-07-01,145554.801486,level
2013-10-01,148162.713181,level
2014-01-01,150032.867457,level
2014-04-01,151504.678853,level
2014-07-01,155583.922159,level
2014-10-01,155674.878898,level
2015-01-01,157114.532271,level
2015-04-01,154065.705095,level
2015-07-01,155281.005245,level
2015-10-01,155284.275234,level
2016-01-01,153006.61261,level
2016-04-01,153335.143373,level
2016-07-01,159864.393962,level
2016-10-01,164849.213055,level
2017-01-01,163528.4924,level
2017-04-01,165292.701039,level
2017-07-01,167774.327133,level
2017-10-01,168847.74978,level
2018-01-01,167482.716088,level
2018-04-01,167755.597133,level
2018-07-01,165679.600388,level
2018-10-01,162643.82645,level
2019-01-01,160331.291822,level
2019-04-01,160238.815531,level
2019-07-01,160393.969127,level
2019-10-01,160328.624129,level
2020-01-01,159544.21723,level
2020-04-01,155466.741677,level
2020-07-01,160585.792337,level
2020-10-01,161706.536328,level
2021-01-01,163980.074825,level
2021-04-01,163955.094816,level
2021-07-01,166483.080062,level
2021-10-01,165761.723503,level
2022-01-01,164131.074503,level
2022-04-01,159896.772884,level
2022-07-01,164152.245454,level
2022-10-01,161096.196502,level
2023-01-01,161144.273332,level
2023-04-01,162813.968887,level
2023-07-01,162802.617326,level
2023-10-01,163809.495203,level
2024-01-01,163711.964049,level
2024-04-01,163952.926164,level
2024-07-01,166853.095507,level
2024-10-01,166367.064362,level
2025-01-01,164677.496974,level
2025-04-01,170037.800782,level
2025-07-01,172547.082968,level
2025-10-01,171558.262373,level
2026-01-01,181841.590364,level
2026-04-01,182778.238991,level
