date,value,transformation
2014-04-01,1884.114475,level
2014-07-01,2054.506506,level
2014-10-01,1994.407472,level
2015-01-01,2247.073075,level
2015-04-01,1758.240888,level
2015-07-01,1719.534713,level
2015-10-01,1116.319579,level
2016-01-01,1135.492974,level
2016-04-01,1113.73047,level
2016-07-01,1073.388725,level
2016-10-01,858.158737,level
2017-01-01,696.621561,level
2017-04-01,714.681046,level
2017-07-01,706.407813,level
2017-10-01,777.837369,level
2018-01-01,719.425614,level
2018-04-01,752.001311,level
2018-07-01,760.766345,level
2018-10-01,786.339066,level
2019-01-01,1017.231568,level
2019-04-01,940.086319,level
2019-07-01,1151.910149,level
2019-10-01,916.191437,level
2020-01-01,1104.878221,level
2020-04-01,965.563937,level
2020-07-01,1176.953122,level
2020-10-01,1343.264244,level
2021-01-01,1396.026866,level
2021-04-01,1638.88648,level
2021-07-01,2155.581279,level
2021-10-01,1769.041376,level
2022-01-01,1846.340518,level
2022-04-01,2018.003512,level
2022-07-01,2461.514757,level
2022-10-01,4108.944138,level
2023-01-01,5931.946021,level
2023-04-01,6586.029378,level
2023-07-01,6857.821001,level
2023-10-01,7209.630599,level
2024-01-01,7761.443571,level
2024-04-01,8457.152608,level
2024-07-01,9143.086991,level
2024-10-01,8896.84651,level
2025-01-01,8582.046268,level
2025-04-01,9477.485934,level
2025-07-01,9236.299895,level
2025-10-01,8827.272116,level
2026-01-01,9438.66376,level
2026-04-01,8971.369152,level
