date,value,transformation
2014-04-01,18190.90755,level
2014-07-01,21151.167417,level
2014-10-01,20938.576356,level
2015-01-01,22504.594015,level
2015-04-01,20717.141305,level
2015-07-01,20154.109454,level
2015-10-01,22571.485837,level
2016-01-01,18655.671046,level
2016-04-01,18356.519672,level
2016-07-01,19136.424335,level
2016-10-01,19484.955329,level
2017-01-01,18142.284127,level
2017-04-01,18624.418577,level
2017-07-01,20748.086804,level
2017-10-01,21694.441047,level
2018-01-01,21536.411926,level
2018-04-01,21094.134383,level
2018-07-01,19620.600868,level
2018-10-01,17685.623186,level
2019-01-01,18329.336244,level
2019-04-01,18253.36521,level
2019-07-01,18703.491539,level
2019-10-01,20239.950416,level
2020-01-01,18861.99075,level
2020-04-01,16856.386022,level
2020-07-01,18356.998824,level
2020-10-01,20009.168063,level
2021-01-01,21092.301486,level
2021-04-01,21227.811348,level
2021-07-01,22947.764032,level
2021-10-01,23032.226965,level
2022-01-01,22804.885438,level
2022-04-01,18695.576478,level
2022-07-01,17853.938119,level
2022-10-01,16306.710901,level
2023-01-01,15199.978266,level
2023-04-01,14873.854084,level
2023-07-01,14148.444711,level
2023-10-01,14595.452927,level
2024-01-01,13784.45704,level
2024-04-01,13575.195461,level
2024-07-01,13681.876229,level
2024-10-01,14016.875354,level
2025-01-01,14675.064924,level
2025-04-01,15403.766926,level
2025-07-01,15809.972832,level
2025-10-01,18198.653517,level
2026-01-01,22654.136493,level
2026-04-01,23755.442282,level
