date,value,transformation
2014-04-01,75585.405971,level
2014-07-01,79582.912657,level
2014-10-01,74880.719768,level
2015-01-01,77979.702781,level
2015-04-01,59077.615485,level
2015-07-01,58584.508275,level
2015-10-01,58950.625944,level
2016-01-01,56743.10244,level
2016-04-01,56400.557153,level
2016-07-01,60360.691242,level
2016-10-01,60529.112215,level
2017-01-01,58840.44984,level
2017-04-01,60033.797799,level
2017-07-01,61574.189673,level
2017-10-01,62782.043288,level
2018-01-01,63110.027808,level
2018-04-01,62173.866613,level
2018-07-01,60830.276778,level
2018-10-01,58482.1799,level
2019-01-01,57738.890599,level
2019-04-01,56696.443921,level
2019-07-01,57422.658227,level
2019-10-01,59030.883459,level
2020-01-01,59167.37434,level
2020-04-01,54432.268037,level
2020-07-01,57466.219937,level
2020-10-01,58855.150207,level
2021-01-01,61439.866385,level
2021-04-01,62698.586346,level
2021-07-01,66034.047832,level
2021-10-01,67631.454873,level
2022-01-01,67902.306583,level
2022-04-01,65441.835102,level
2022-07-01,69764.738519,level
2022-10-01,66741.229206,level
2023-01-01,67464.516,level
2023-04-01,68957.230425,level
2023-07-01,68682.474455,level
2023-10-01,70343.589863,level
2024-01-01,70708.197862,level
2024-04-01,71024.202608,level
2024-07-01,73140.896799,level
2024-10-01,74290.797135,level
2025-01-01,73536.573221,level
2025-04-01,77519.710573,level
2025-07-01,80466.306119,level
2025-10-01,82850.468504,level
2026-01-01,91944.214429,level
2026-04-01,95399.862451,level
