date,value,transformation
2014-04-01,6379.672898,level
2014-07-01,6283.137162,level
2014-10-01,6402.303594,level
2015-01-01,8703.728755,level
2015-04-01,8396.227599,level
2015-07-01,8303.516935,level
2015-10-01,11670.742381,level
2016-01-01,12877.711917,level
2016-04-01,12892.405325,level
2016-07-01,14242.619889,level
2016-10-01,14019.719073,level
2017-01-01,13676.713378,level
2017-04-01,14114.086565,level
2017-07-01,13959.066219,level
2017-10-01,14125.339745,level
2018-01-01,14307.927869,level
2018-04-01,14356.790927,level
2018-07-01,13385.96228,level
2018-10-01,12974.342883,level
2019-01-01,13915.357748,level
2019-04-01,14018.860937,level
2019-07-01,14394.084561,level
2019-10-01,14845.597621,level
2020-01-01,14872.802581,level
2020-04-01,13915.931318,level
2020-07-01,14259.269235,level
2020-10-01,14756.781218,level
2021-01-01,16850.442377,level
2021-04-01,17986.954912,level
2021-07-01,19134.066153,level
2021-10-01,20885.690599,level
2022-01-01,20655.431457,level
2022-04-01,18927.364358,level
2022-07-01,19009.787774,level
2022-10-01,17386.573914,level
2023-01-01,17927.492997,level
2023-04-01,17489.578221,level
2023-07-01,17239.611559,level
2023-10-01,17152.294998,level
2024-01-01,16815.312529,level
2024-04-01,16107.238763,level
2024-07-01,15835.783431,level
2024-10-01,16781.726831,level
2025-01-01,18217.374186,level
2025-04-01,17854.61749,level
2025-07-01,17875.77192,level
2025-10-01,19387.137594,level
2026-01-01,21877.467602,level
2026-04-01,22183.5351,level
