date,value,transformation
2014-10-01,146383.655079,level
2015-01-01,147400.761203,level
2015-04-01,145980.663788,level
2015-07-01,147484.193647,level
2015-10-01,148855.000439,level
2016-01-01,146746.280985,level
2016-04-01,147097.015469,level
2016-07-01,153538.247965,level
2016-10-01,158116.123147,level
2017-01-01,156968.206096,level
2017-04-01,158240.383602,level
2017-07-01,160580.66687,level
2017-10-01,161440.217675,level
2018-01-01,159993.534189,level
2018-04-01,159449.400117,level
2018-07-01,157593.640601,level
2018-10-01,154486.764324,level
2019-01-01,152180.835678,level
2019-04-01,152041.509085,level
2019-07-01,152103.327538,level
2019-10-01,152103.321588,level
2020-01-01,150743.030965,level
2020-04-01,147119.016416,level
2020-07-01,151691.628066,level
2020-10-01,152555.253372,level
2021-01-01,154499.060197,level
2021-04-01,152999.883287,level
2021-07-01,154239.308904,level
2021-10-01,154176.720967,level
2022-01-01,152121.454203,level
2022-04-01,148176.716045,level
2022-07-01,150001.840268,level
2022-10-01,145568.436531,level
2023-01-01,144808.583934,level
2023-04-01,145557.015895,level
2023-07-01,145601.967977,level
2023-10-01,145584.036668,level
2024-01-01,144322.409899,level
2024-04-01,144820.62638,level
2024-07-01,146219.377123,level
2024-10-01,145098.035394,level
2025-01-01,145208.760265,level
2025-04-01,148420.094022,level
2025-07-01,150128.1154,level
2025-10-01,150630.374472,level
2026-01-01,160153.268344,level
2026-04-01,159202.025598,level
