date,value,transformation
2014-04-01,33059.104932,level
2014-07-01,34675.585136,level
2014-10-01,34579.705302,level
2015-01-01,36242.990912,level
2015-04-01,31222.378638,level
2015-07-01,31605.795126,level
2015-10-01,33954.773295,level
2016-01-01,32468.161642,level
2016-04-01,32280.800415,level
2016-07-01,36421.28407,level
2016-10-01,36579.783866,level
2017-01-01,29940.965262,level
2017-04-01,36155.024783,level
2017-07-01,38360.102045,level
2017-10-01,39507.942798,level
2018-01-01,40320.486424,level
2018-04-01,40110.528427,level
2018-07-01,38288.260522,level
2018-10-01,35410.865267,level
2019-01-01,35015.775543,level
2019-04-01,34229.459281,level
2019-07-01,33594.66102,level
2019-10-01,34284.408479,level
2020-01-01,32363.284928,level
2020-04-01,29394.723258,level
2020-07-01,31716.391261,level
2020-10-01,32942.884935,level
2021-01-01,35136.604616,level
2021-04-01,36152.262825,level
2021-07-01,37993.572527,level
2021-10-01,39800.415791,level
2022-01-01,39986.211408,level
2022-04-01,34712.492886,level
2022-07-01,34799.775957,level
2022-10-01,33254.885765,level
2023-01-01,31436.261496,level
2023-04-01,30839.511371,level
2023-07-01,30141.141421,level
2023-10-01,30334.136481,level
2024-01-01,29735.850366,level
2024-04-01,28837.406652,level
2024-07-01,29707.774467,level
2024-10-01,30554.621437,level
2025-01-01,32177.00319,level
2025-04-01,32141.854376,level
2025-07-01,33581.899863,level
2025-10-01,37026.842348,level
2026-01-01,43814.784651,level
2026-04-01,44671.512272,level
