date,value,transformation
2014-04-01,536.333171,level
2014-07-01,536.439346,level
2014-10-01,516.712468,level
2015-01-01,503.205843,level
2015-04-01,480.656446,level
2015-07-01,487.502273,level
2015-10-01,488.055159,level
2016-01-01,481.83176,level
2016-04-01,488.67988,level
2016-07-01,484.962995,level
2016-10-01,485.788321,level
2017-01-01,465.570534,level
2017-04-01,472.449807,level
2017-07-01,483.118509,level
2017-10-01,490.449665,level
2018-01-01,493.573009,level
2018-04-01,505.042038,level
2018-07-01,488.081766,level
2018-10-01,487.111926,level
2019-01-01,483.181703,level
2019-04-01,482.245304,level
2019-07-01,482.948149,level
2019-10-01,473.966805,level
2020-01-01,480.42043,level
2020-04-01,476.155935,level
2020-07-01,479.354122,level
2020-10-01,488.910643,level
2021-01-01,500.369893,level
2021-04-01,492.248684,level
2021-07-01,495.690733,level
2021-10-01,2060.49031,level
2022-01-01,2040.159148,level
2022-04-01,2016.402665,level
2022-07-01,1942.936592,level
2022-10-01,1859.823708,level
2023-01-01,1939.943072,level
2023-04-01,1961.626637,level
2023-07-01,1944.37129,level
2023-10-01,1911.492655,level
2024-01-01,1955.741264,level
2024-04-01,1929.144728,level
2024-07-01,1916.863411,level
2024-10-01,1975.163303,level
2025-01-01,1901.013275,level
2025-04-01,1932.384946,level
2025-07-01,2001.954148,level
2025-10-01,1996.366522,level
2026-01-01,1998.085386,level
2026-04-01,1979.240366,level
