date,value,transformation
2005-04-01,58.892238,level
2005-07-01,58.819133,level
2005-10-01,59.321402,level
2006-01-01,63.886821,level
2006-04-01,61.937591,level
2006-07-01,58.996416,level
2006-10-01,60.706788,level
2007-01-01,64.439058,level
2007-04-01,61.164384,level
2007-07-01,61.631016,level
2007-10-01,66.961362,level
2008-01-01,66.938111,level
2008-04-01,65.693196,level
2008-07-01,64.888337,level
2008-10-01,59.110042,level
2009-01-01,52.180406,level
2009-04-01,54.822777,level
2009-07-01,55.598244,level
2009-10-01,53.962461,level
2010-01-01,57.948847,level
2010-04-01,56.796836,level
2010-07-01,56.108706,level
2010-10-01,59.326788,level
2011-01-01,62.390603,level
2011-04-01,59.559154,level
2011-07-01,59.074812,level
2011-10-01,56.959089,level
2012-01-01,59.407593,level
2012-04-01,59.496284,level
2012-07-01,56.931911,level
2012-10-01,58.631072,level
2013-01-01,59.93628,level
2013-04-01,57.22135,level
2013-07-01,54.894027,level
2013-10-01,55.398263,level
2014-01-01,58.065721,level
2014-04-01,62.657993,level
2014-07-01,59.080882,level
2014-10-01,57.758306,level
2015-01-01,57.776976,level
2015-04-01,53.487954,level
2015-07-01,52.141328,level
2015-10-01,59.178228,level
2016-01-01,60.553571,level
2016-04-01,56.434938,level
2016-07-01,55.946042,level
2016-10-01,55.303299,level
2017-01-01,57.434813,level
2017-04-01,55.77193,level
2017-07-01,54.493407,level
2017-10-01,55.870237,level
2018-01-01,56.099218,level
2018-04-01,55.280861,level
2018-07-01,54.908377,level
2018-10-01,55.198973,level
2019-01-01,56.095238,level
2019-04-01,55.721003,level
2019-07-01,55.082375,level
2019-10-01,54.700986,level
2020-01-01,55.924679,level
2020-04-01,54.699132,level
2020-07-01,53.733866,level
2020-10-01,54.761905,level
2021-01-01,56.251901,level
2021-04-01,57.677165,level
2021-07-01,57.490184,level
2021-10-01,58.734215,level
2022-01-01,57.770777,level
2022-04-01,60.467906,level
2022-07-01,60.383004,level
2022-10-01,58.438249,level
2023-01-01,58.432481,level
2023-04-01,57.325409,level
2023-07-01,56.350387,level
2023-10-01,55.840498,level
2024-01-01,56.482575,level
2024-04-01,55.047226,level
2024-07-01,55.763011,level
2024-10-01,55.484434,level
2025-01-01,56.672469,level
2025-04-01,56.797101,level
2025-07-01,56.588474,level
2025-10-01,56.742381,level
2026-01-01,59.649627,level
2026-04-01,57.603093,level
2026-07-01,55.80268,level
