date,value,transformation
2022-12-01,54.8105277,level
2023-01-01,51.73859006,level
2023-02-01,27.45185617,level
2023-03-01,103.7886563,level
2023-04-01,51.50716283,level
2023-05-01,96.27563099,level
2023-06-01,67.01469768,level
2023-07-01,90.55172795,level
2023-08-01,58.27732005,level
2023-09-01,48.40496773,level
2023-10-01,39.32984641,level
2023-11-01,32.46711045,level
2023-12-01,127.78599308,level
2024-01-01,73.77250924,level
2024-02-01,40.42819175,level
2024-03-01,51.08595142,level
2024-04-01,63.63012285,level
2024-05-01,47.55011162,level
2024-06-01,17.47688425,level
2024-07-01,1724.06505769,level
2024-08-01,22.48569887,level
2024-09-01,9.35293447,level
2024-10-01,8.31511494,level
2024-11-01,33.89795482,level
2024-12-01,62.44354394,level
2025-01-01,38.10501604,level
2025-02-01,43.47637811,level
2025-03-01,2.71311907,level
2025-04-01,1053.08085191,level
2025-05-01,1197.57744684,level
2025-06-01,21.94826975,level
2025-07-01,37.6295546,level
2025-08-01,1007.12166264,level
2025-09-01,3316.73066392,level
2025-10-01,3423.47801191,level
2025-11-01,3136.40498991,level
2025-12-01,3130.2758065,level
2026-01-01,2948.19858522,level
2026-02-01,3141.13702112,level
2026-03-01,2850.37751443,level
2026-04-01,3155.67911297,level
2026-05-01,2678.15710586,level
2026-06-01,3445.31046552,level
2026-07-01,3460.3570618,level
