date,value,transformation
2023-01-01,8162.59592361999,level
2023-02-01,7774.56095082,level
2023-03-01,10700.19028107,level
2023-04-01,12264.05384333,level
2023-05-01,9918.78025168,level
2023-06-01,9921.51865792,level
2023-07-01,8613.94742816,level
2023-08-01,8230.53206175,level
2023-09-01,11282.90698984,level
2023-10-01,10184.64956689,level
2023-11-01,8351.79136131,level
2023-12-01,9054.44826378999,level
2024-01-01,7752.68367429,level
2024-02-01,8187.68781357,level
2024-03-01,8880.90053991,level
2024-04-01,7663.91128851,level
2024-05-01,9545.20425386,level
2024-06-01,8750.11465191,level
2024-07-01,10021.58568113,level
2024-08-01,9959.1536919,level
2024-09-01,9002.52247230999,level
2024-10-01,8092.71382066,level
2024-11-01,9486.81942338,level
2024-12-01,8360.85753177,level
2025-01-01,7299.88601275,level
2025-02-01,6544.34379476,level
2025-03-01,8323.01227745,level
2025-04-01,7092.30173786,level
2025-05-01,9095.27661446,level
2025-06-01,8329.0376811,level
2025-07-01,6820.32256689,level
2025-08-01,8563.35396983,level
2025-09-01,7865.44785117,level
2025-10-01,7673.19460581,level
2025-11-01,31903.14004966,level
2025-12-01,33361.69522253,level
2026-01-01,38327.02747402,level
2026-02-01,30773.19503428,level
2026-03-01,37985.13646493,level
2026-04-01,33335.15512064,level
2026-05-01,36846.36804159,level
2026-06-01,23874.86459508,level
2026-07-01,32235.34617144,level
2026-08-01,34020.68635506,level
