date,value,transformation
2018-01-01,30996.649283570427,level
2018-02-01,31348.879187492814,level
2018-03-01,30993.283191102935,level
2018-04-01,30648.651152681254,level
2018-05-01,31339.258244985424,level
2018-06-01,30720.59066405623,level
2018-07-01,30096.07779336144,level
2018-08-01,30841.76116188529,level
2018-09-01,30509.909207138073,level
2018-10-01,29977.093037618088,level
2018-11-01,29043.86968553896,level
2018-12-01,30146.45025175503,level
2019-01-01,30927.02695042712,level
2019-02-01,30580.031878294478,level
2019-03-01,29136.874802504,level
2019-04-01,27042.136883539362,level
2019-05-01,27085.466360963313,level
2019-06-01,28050.26017347632,level
2019-07-01,28222.287780827268,level
2019-08-01,27676.72926044222,level
2019-09-01,28236.373828024312,level
2019-10-01,28796.20361443929,level
2019-11-01,29501.515412105127,level
2019-12-01,28636.943794315,level
2020-01-01,28957.509887228625,level
2020-02-01,29336.17423200095,level
2020-03-01,29888.55629769168,level
2020-04-01,29782.410425670023,level
2020-05-01,30557.171565349177,level
2020-06-01,31560.974290282596,level
2020-07-01,32891.25856584111,level
2020-08-01,35371.797273580385,level
2020-09-01,35392.964194606415,level
2020-10-01,33783.83925432426,level
2020-11-01,33573.863242423264,level
2020-12-01,32508.02645613504,level
2021-01-01,35638.084976284,level
2021-02-01,35562.654122438595,level
2021-03-01,34674.00214880725,level
2021-04-01,33506.21559239921,level
2021-05-01,34220.79597716478,level
2021-06-01,36468.42495914462,level
2021-07-01,35049.40957607142,level
2021-08-01,34986.962665813546,level
2021-09-01,36808.722430233895,level
2021-10-01,35520.27673012755,level
2021-11-01,35820.42086272155,level
2021-12-01,35483.06327224203,level
2022-01-01,34377.97403821167,level
2022-02-01,33386.29904636678,level
2022-03-01,33478.28858325172,level
2022-04-01,33125.09938720851,level
2022-05-01,33406.59237879385,level
2022-06-01,32796.6346579632,level
2022-07-01,31960.657346680062,level
2022-08-01,32864.405284911234,level
2022-09-01,32671.35462930349,level
2022-10-01,32638.671263871118,level
2022-11-01,32966.836433863566,level
2022-12-01,34018.32955566368,level
2023-01-01,35076.02886017335,level
2023-02-01,36781.2851677488,level
2023-03-01,34512.832471522364,level
2023-04-01,36214.79977751212,level
2023-05-01,37605.850886800545,level
2023-06-01,35444.97786669047,level
2023-07-01,34456.779236480965,level
2023-08-01,34211.41401147802,level
2023-09-01,33580.7195575279,level
2023-10-01,31883.450429953424,level
2023-11-01,33957.85037536994,level
2023-12-01,34196.577653261724,level
2024-01-01,35944.0531031745,level
2024-02-01,36679.03081274847,level
2024-03-01,36130.255476132355,level
2024-04-01,37847.046933613856,level
2024-05-01,39850.64174957584,level
2024-06-01,39817.07388842929,level
2024-07-01,39932.60633881984,level
2024-08-01,41863.993563878044,level
2024-09-01,42721.03574698046,level
2024-10-01,44590.880130214675,level
2024-11-01,45851.429454643425,level
2024-12-01,44219.36392805446,level
2025-01-01,45823.48534821276,level
2025-02-01,47187.81846720963,level
2025-03-01,47991.221587476466,level
2025-04-01,50072.505616723494,level
2025-05-01,52398.25244436644,level
2025-06-01,52330.34155772205,level
2025-07-01,51817.44842198445,level
2025-08-01,52147.46710584711,level
2025-09-01,54316.07017486334,level
2025-10-01,57416.079677365495,level
2025-11-01,60442.955065507944,level
2025-12-01,61776.71852476928,level
2026-01-01,65414.43553814808,level
2026-02-01,71464.59226735895,level
2026-03-01,73391.10792230585,level
2026-04-01,66786.22022115943,level
2026-05-01,67521.48855598064,level
2026-06-01,67346.592234128,level
2026-07-01,61828.63729572266,level
2026-08-01,63324.21840575815,level
