date,value,transformation
2023-01-01,37052.50677331,level
2023-02-01,36392.72572732,level
2023-03-01,34393.88621092,level
2023-04-01,27165.877727,level
2023-05-01,26546.97897926,level
2023-06-01,25778.67707806,level
2023-07-01,24108.44965904,level
2023-08-01,22647.65565608,level
2023-09-01,21296.62957824,level
2023-10-01,20972.79742155,level
2023-11-01,19123.32451331,level
2023-12-01,17369.81244598,level
2024-01-01,16246.6186754,level
2024-02-01,14564.37238272,level
2024-03-01,13227.25787738,level
2024-04-01,11703.94367643,level
2024-05-01,11520.47340519,level
2024-06-01,11493.81482928,level
2024-07-01,11363.19718194,level
2024-08-01,11575.89769565,level
2024-09-01,11741.48377958,level
2024-10-01,12399.5610367,level
2024-11-01,12624.79656153,level
2024-12-01,13752.26994391,level
2025-01-01,15257.11871472,level
2025-02-01,15621.2232448,level
2025-03-01,15869.70024086,level
2025-04-01,20990.95503656,level
2025-05-01,22119.54079542,level
2025-06-01,22369.63080787,level
2025-07-01,23544.5898842,level
2025-08-01,25125.10242409,level
2025-09-01,25160.29801755,level
2025-10-01,28324.19366672,level
2025-11-01,28334.34524305,level
2025-12-01,28071.1363356,level
2026-01-01,28334.05266137,level
2026-02-01,29196.17919188,level
2026-03-01,28720.65818307,level
2026-04-01,27186.7723012,level
2026-05-01,27228.60639047,level
2026-06-01,28669.6287538,level
2026-07-01,29145.84238557,level
