date,value,transformation
2021-01-01,232516.43027,level
2021-04-01,234779.664105,level
2021-07-01,241094.588864,level
2021-10-01,244511.956737,level
2022-01-01,244277.840786,level
2022-04-01,239308.150952,level
2022-07-01,242621.7791,level
2022-10-01,243269.468854,level
2023-01-01,242882.800715,level
2023-04-01,249674.880223,level
2023-07-01,251396.243081,level
2023-10-01,253651.271677,level
2024-01-01,256266.104964,level
2024-04-01,259434.496999,level
2024-07-01,259331.747088,level
2024-10-01,257896.633262,level
2025-01-01,251804.865748,level
2025-04-01,258328.474015,level
2025-07-01,259227.509085,level
2025-10-01,258159.554052,level
2026-01-01,273294.163597,level
2026-04-01,282480.226618,level
