date,value,transformation
2021-01-01,-71980.316668,level
2021-04-01,-74476.399043,level
2021-07-01,-76154.131101,level
2021-10-01,-79703.166542,level
2022-01-01,-76929.812735,level
2022-04-01,-71443.676635,level
2022-07-01,-73575.413639,level
2022-10-01,-75253.153902,level
2023-01-01,-67267.779539,level
2023-04-01,-66607.447936,level
2023-07-01,-69558.207805,level
2023-10-01,-73146.346648,level
2024-01-01,-67899.756429,level
2024-04-01,-64694.429678,level
2024-07-01,-60929.000412,level
2024-10-01,-53018.56241,level
2025-01-01,-52758.066477,level
2025-04-01,-41798.279619,level
2025-07-01,-36317.731254,level
2025-10-01,-31831.796805,level
2026-01-01,-34458.748207,level
2026-04-01,-38741.704766,level
