date,value,transformation
2016-04-01,67.878788,level
2016-07-01,65.761448,level
2016-10-01,63.391274,level
2017-01-01,63.12544,level
2017-04-01,62.368421,level
2017-07-01,61.693269,level
2017-10-01,66.203227,level
2018-01-01,63.489636,level
2018-04-01,62.63034,level
2018-07-01,63.187173,level
2018-10-01,65.227856,level
2019-01-01,63.920635,level
2019-04-01,64.482759,level
2019-07-01,63.972645,level
2019-10-01,62.438348,level
2020-01-01,61.497244,level
2020-04-01,62.825682,level
2020-07-01,62.261832,level
2020-10-01,62.591575,level
2021-01-01,62.138728,level
2021-04-01,64.400363,level
2021-07-01,65.569314,level
2021-10-01,65.634396,level
2022-01-01,65.061506,level
2022-04-01,69.856029,level
2022-07-01,70.870736,level
2022-10-01,68.914868,level
2023-01-01,66.597264,level
2023-04-01,64.130758,level
2023-07-01,61.525877,level
2023-10-01,62.125704,level
2024-01-01,61.414649,level
2024-04-01,61.245573,level
2024-07-01,62.143487,level
2024-10-01,61.3762,level
2025-01-01,62.750218,level
2025-04-01,64.521739,level
2025-07-01,64.596003,level
2025-10-01,63.700403,level
2026-01-01,62.693854,level
2026-04-01,62.585911,level
2026-07-01,61.819219,level
