date,value,transformation
2020-04-01,24.162531,level
2020-07-01,24.554395,level
2020-10-01,25.763126,level
2021-01-01,26.74171,level
2021-04-01,25.590551,level
2021-07-01,26.759287,level
2021-10-01,27.209862,level
2022-01-01,25.952595,level
2022-04-01,26.574685,level
2022-07-01,25.493716,level
2022-10-01,25.269784,level
2023-01-01,25.580012,level
2023-04-01,25.022288,level
2023-07-01,25.252826,level
2023-10-01,25.585532,level
2024-01-01,26.314235,level
2024-04-01,25.413223,level
2024-07-01,26.080565,level
2024-10-01,26.185627,level
2025-01-01,26.631854,level
2025-04-01,26.028986,level
2025-07-01,26.209094,level
2025-10-01,26.106958,level
2026-01-01,26.278001,level
2026-04-01,24.455899,level
2026-07-01,24.921585,level
