date,value,transformation
2024-12-01,71652083.0,level
2025-01-01,93731688.0,level
2025-02-01,149081157.0,level
2025-03-01,46255660.0,level
2025-04-01,53090876.0,level
2025-05-01,35860459.0,level
2025-06-01,30062975.0,level
2025-07-01,54643625.0,level
2025-08-01,38050555.0,level
2025-09-01,46051625.0,level
2025-10-01,38727065.0,level
2025-11-01,51285585.0,level
2025-12-01,47887189.0,level
2026-01-01,38250408.0,level
2026-02-01,48358684.0,level
2026-03-01,33341114.0,level
2026-04-01,45947303.0,level
2026-05-01,64535992.0,level
2026-06-01,87808800.0,level
2026-07-01,77834064.0,level
