date,value,transformation
2025-01-01,127896431294.0,level
2025-02-01,101692355792.0,level
2025-03-01,94207746963.0,level
2025-04-01,89963073630.0,level
2025-05-01,81628404531.0,level
2025-06-01,101281187845.0,level
2025-07-01,60854321272.0,level
2025-08-01,86184780233.0,level
2025-09-01,82004785798.0,level
2025-10-01,122145774809.0,level
2025-11-01,144895339435.0,level
2025-12-01,129658560769.0,level
2026-01-01,134560334406.0,level
2026-02-01,62859414953.0,level
2026-03-01,81634240432.0,level
2026-04-01,70943760874.0,level
2026-05-01,116228489175.0,level
2026-06-01,118723086810.0,level
2026-07-01,152134566442.0,level
2026-08-01,140762229004.0,level
